B_Height_cms,B_Weight_lbs,B_avg_opp_CTRL_time(seconds),gender,B_avg_CLINCH_att,B_avg_opp_GROUND_landed,R_Reach_cms,B_avg_REV,B_avg_SIG_STR_pct,R_avg_SIG_STR_pct,weight_class,B_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,B_avg_LEG_landed,B_age,B_win_by_Submission,B_avg_HEAD_landed,R_avg_opp_TD_att,B_avg_LEG_att,B_avg_GROUND_att,B_Reach_cms
182.88,185.0,75.5,1,4.875,4.375,177.8,0.125,0.43,0.47,7,20.625,10.5,6.374860763549805,26.0,0.0,5.744140625,4.75,8.0,2.0,190.5
177.8,155.0,14.6015625,1,5.671875,0.359375,187.96,0.0,0.394140625,0.49875,5,30.8828125,3.0,5.4921875,27.0,0.0,39.9765625,5.8125,6.5234375,4.7578125,177.8
182.88,170.0,6.0,1,0.0,0.0,185.42000000000002,0.0,0.4525,0.3697021484375,6,30.4375,9.375,2.0,28.0,0.0,16.0,1.0,4.0,8.78125,190.5
175.26,185.0,67.15625,1,11.8671875,0.8125,185.42,0.0,0.605,0.373517723083496,6,6.359375,0.259796142578125,2.6640625,28.0,0.0,11.8046875,3.660690307617188,3.421875,1.6484375,175.26
165.1,135.0,181.141357421875,1,9.97900390625,3.843017578125,167.64,0.125,0.38146240234375,0.416328125,3,26.547607421875,0.15625,5.882080078125,34.0,2.0,18.65185546875,6.375,8.278564453125,7.906982421875,170.18
177.8,170.0,262.0,1,16.0,11.0,190.5,0.625,0.605,0.41578125,6,10.0,4.1640625,3.0,23.0,0.0,34.0,3.2265625,3.0,18.875,182.88
172.72,145.0,1.0,1,6.0,0.0,193.04,0.0,0.47,0.3175,5,15.0,0.0,2.0,32.0,0.0,16.0,1.875,3.0,5.0,167.64
180.34,170.0,139.75,1,16.25,2.75,185.42,0.0,0.4599999999999999,0.5375000000000001,6,23.5,4.25,7.5,32.0,0.0,25.5,5.375,9.25,7.0,190.5
165.1,125.0,93.1875,1,4.75,3.4375,165.1,0.625,0.505625,0.2394287109375,2,20.9375,6.26806640625,5.5,28.0,2.0,22.875,0.47412109375,7.5625,2.625,170.18
175.26,185.0,2.5,1,1.5,3.0,185.42,0.0,0.21,0.308125,8,1.0,4.0,4.0,35.0,0.0,1.5,2.90625,5.5,0.0,185.42
177.8,170.0,277.0,1,17.0,2.0,182.88,0.5,0.4425,0.5625,7,4.25,11.5,7.75,28.0,0.0,17.5,2.75,10.25,11.75,182.88
187.96,170.0,0.0,1,16.0,0.0,190.5,0.0,0.38,0.615,6,4.0,9.375,11.5,26.0,0.0,12.0,2.34375,14.0,6.0,193.04
177.8,170.0,87.1796875,1,15.8359375,2.6171875,193.04,0.0,0.4428125,0.475,6,20.2890625,16.536739349365234,3.6484375,34.0,0.0,21.984375,1.5,4.2109375,0.484375,177.8
