weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_TOTAL_STR_att,B_avg_opp_TOTAL_STR_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_DISTANCE_att,B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_SIG_STR_att,R_avg_opp_SIG_STR_att,R_avg_TOTAL_STR_att,R_avg_opp_TOTAL_STR_att,R_avg_BODY_att,R_avg_opp_BODY_att,R_avg_DISTANCE_att,R_avg_opp_DISTANCE_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
7.0,33.5,82.5,37.0,131.6875,65.0,11.0,6.9375,71.0,0.0,182.88,185.0,56.3125,78.0,77.0,97.0,8.25,5.0,40.0,54.875,0.0,182.88,177.8,185.0,1.0,190.5
5.0,135.625,89.953125,141.2109375,91.8828125,83.2109375,3.9609375,2.0703125,88.6953125,3.0,177.8,155.0,124.5,117.8125,156.03125,129.59375,20.125,17.59375,98.25,110.25,0.0,180.34,187.96,170.0,1.0,177.8
6.0,66.0,74.9375,66.0,97.9140625,59.75,8.0,5.21875,64.5,0.0,182.88,170.0,96.5,91.625,121.0,113.2219409942627,12.5,2.96875,76.75,82.2294921875,0.0,185.42,185.42000000000002,170.0,1.0,190.5
6.0,39.21875,37.2265625,51.5,52.046875,28.7734375,6.65625,4.453125,24.234375,3.0,175.26,185.0,81.38787651062012,109.99836349487305,96.13076210021973,125.44104194641112,8.181121826171875,8.554874420166016,67.44122505187988,102.7551155090332,4.0,177.8,185.42,170.0,1.0,175.26
3.0,74.5224609375,93.2998046875,102.17041015625,125.85986328125,76.181396484375,10.418212890625,9.236328125,69.770263671875,0.0,165.1,135.0,105.0703125,126.03125,134.6484375,165.0,20.125,19.1591796875,88.0,102.640625,3.0,160.02,167.64,135.0,1.0,170.18
6.0,63.0,73.0,87.0,105.0,50.0,17.0,13.0,34.0,0.0,177.8,170.0,144.125,140.75,171.51318359375,165.0,20.125,19.1591796875,124.875,122.688232421875,1.0,177.8,190.5,170.0,1.0,182.88
5.0,48.0,63.0,104.0,71.0,45.0,12.0,3.0,59.0,0.0,172.72,145.0,88.0,75.125,90.25,75.1875,6.125,15.0,84.875,73.5625,1.0,180.34,193.04,155.0,1.0,167.64
6.0,113.25,81.0,126.5,92.75,69.25,7.5,3.75,68.5,1.0,180.34,170.0,118.375,74.875,157.5,94.375,15.25,6.875,76.0,63.875,0.0,182.88,185.42,170.0,1.0,190.5
2.0,72.0,66.0,85.0,78.0625,56.875,3.75,3.0,57.375,0.0,165.1,125.0,90.56982421875,102.0244140625,114.232421875,120.00732421875,8.2294921875,12.33447265625,87.7939453125,90.88232421875,0.0,162.56,165.1,125.0,1.0,170.18
8.0,25.0,11.5,25.5,11.5,11.0,0.0,0.0,6.5,0.0,175.26,185.0,78.453125,112.0,87.75,140.578125,3.953125,14.0,62.375,93.375,0.0,185.42,185.42,205.0,1.0,185.42
7.0,72.5,17.75,131.0,55.25,14.5,2.5,1.75,11.25,0.0,177.8,170.0,38.5,31.75,99.75,78.5,8.5,2.75,10.75,12.25,1.0,175.26,182.88,170.0,1.0,182.88
6.0,99.0,57.0,118.0,76.0,44.0,4.0,1.0,53.0,0.0,187.96,170.0,21.65625,24.4375,28.09375,42.90625,2.9375,4.15625,12.21875,9.8125,0.0,180.34,190.5,170.0,1.0,193.04
6.0,86.96875,59.296875,90.390625,62.5703125,43.1484375,9.03125,4.1015625,50.84375,1.0,177.8,170.0,19.0,39.5,27.0,54.5,0.0,1.0,13.0,9.5,1.0,185.42,193.04,170.0,1.0,177.8
7.0,60.0,73.109375,64.125,81.875,65.6583309173584,3.5,3.25,70.671875,0.0,172.72,170.0,23.125,15.0,51.875,18.25,4.875,2.625,5.875,7.375,2.0,180.34,185.42,185.0,1.0,177.8
6.0,7.0,9.0,7.0,9.0,8.0,0.0,0.0,9.0,1.0,187.96,205.0,46.25,65.375,76.5,94.0,4.875,5.875,39.0,45.125,0.0,175.26,182.88,155.0,1.0,195.58
6.0,17.0,29.0,28.0,53.0,22.0,6.0,3.0,9.0,0.0,187.96,170.0,31.777252659201626,41.576322346925735,36.60321123898029,47.18518353998661,6.313090190291405,2.623393148183822,26.13777366280556,33.881482765078545,4.0,177.8,182.88,170.0,1.0,193.04
8.0,41.0,45.5,42.0,46.5,34.0,4.0,2.0,41.0,1.0,185.42,205.0,63.54345703125,29.040771484375,110.7080078125,32.195068359375,4.4990234375,1.19873046875,22.99267578125,25.334228515625,3.0,187.96,187.96,205.0,1.0,187.96
3.0,109.0,105.0,146.0,156.0,80.0,17.0,13.0,67.0,0.0,165.1,135.0,57.5,27.75,58.75,28.75,6.0,2.5,47.5,24.0,1.0,172.72,175.26,135.0,1.0,170.18
3.0,99.0,84.5,119.0,98.5,52.0,18.75,13.0,48.5,0.0,172.72,135.0,105.0,116.5,130.5,136.5,13.5,19.1591796875,88.0,100.5,0.0,167.64,182.88,135.0,1.0,177.8
1.0,133.28125,125.625,140.09375,129.53125,95.5625,8.09375,4.84375,112.8337056040764,0.0,162.56,125.0,144.125,111.5,171.51318359375,129.5,20.125,19.1591796875,124.875,84.75,0.0,167.64,165.1,115.0,0.0,162.56
7.0,71.96875,73.1328125,81.625,84.4375,51.296875,12.5,8.625,63.47930908203125,0.0,177.8,170.0,61.0,23.75,71.25,35.0,6.75,3.5,44.5,16.5,0.0,182.88,190.5,185.0,1.0,187.96
6.0,75.0,47.9296875,86.75,45.5419921875,40.625,7.4765625,3.936914443969727,48.21875,0.0,182.88,170.0,34.96875,11.1875,60.40625,15.03125,4.5,1.0625,9.03125,9.8125,2.0,177.8,185.42,170.0,1.0,190.5
