weight_class,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_BODY_att,B_avg_opp_BODY_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_opp_CLINCH_att,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_Height_cms,B_Reach_cms,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_landed,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
7,33.5,11.0,82.5,34.5,37.0,26.5,131.6875,77.5,25.0625,5.744140625,65.0,0.0,11.0,6.374860763549805,2.5,20.625,4.875,2.0,2.0,1.0,6.375,132.2890625,75.5,565.5,0.0,182.88,190.5,0.0,56.3125,23.125,27.3203125,44.5,51.75,2.0,44.5,23.0,67.373046875,8.25,4.5,4.600341796875,4.0,40.0,12.25,2.21875,1.390625,8.09375,10.5,6.75,343.0,204.625,718.0,0.0,182.88,177.8,185.0,26.0,21.0
5,135.625,53.234375,89.953125,31.296875,141.2109375,56.71875,91.8828125,33.078125,109.0,39.9765625,83.2109375,13.625,3.9609375,5.4921875,2.78125,30.8828125,5.671875,0.7109375,4.7578125,2.7421875,0.546875,35.9453125,14.6015625,522.8359375,19.0,177.8,177.8,0.03125,124.5,60.5625,41.84375,87.59375,53.09375,0.9375,93.46875,37.78125,92.25,20.125,13.875,7.96875,5.875,98.25,41.5625,14.28125,11.75,7.25,3.0,1.09375,252.3125,115.0,890.59375,0.0,180.34,187.96,170.0,27.0,30.0
6,66.0,22.1123046875,74.9375,33.640625,66.0,29.0625,97.9140625,39.5,55.0,16.0,59.75,5.125,8.0,2.0,5.0634765625,30.4375,0.0,4.0,8.78125,5.5,0.25,16.1875,6.0,368.75,0.0,182.88,190.5,0.5,96.5,35.3125,33.0,53.541900634765625,35.0,1.0,85.0,22.5,90.5,12.5,10.116485595703123,3.0,3.0,76.75,18.0,12.0,7.16400146484375,0.84375,9.375,5.3321533203125,343.0,78.57709121704102,749.5,0.0,185.42,185.42000000000002,170.0,28.0,31.0
6,39.21875,19.015625,37.2265625,14.53125,51.5,30.7421875,52.046875,28.671875,30.3671875,11.8046875,28.7734375,5.4296875,6.65625,2.6640625,1.796875,6.359375,11.8671875,12.1796875,1.6484375,1.5234375,0.8125,68.28125,67.15625,331.0703125,17.0,175.26,175.26,0.0001373291015625,81.38787651062012,27.139766693115234,39.22499656677246,41.37993812561035,53.25947189331055,1.0005035400390625,72.98862648010254,19.69515419006348,92.6004581451416,8.181121826171875,7.28924560546875,8.84303092956543,6.823678970336914,67.44122505187988,14.901988983154297,8.778823852539062,7.3935546875,4.8442230224609375,0.259796142578125,0.2265777587890625,145.693754196167,116.29281616210938,793.5677528381348,0.0,177.8,185.42,170.0,28.0,34.0
3,74.5224609375,29.986572265625,93.2998046875,42.4130859375,102.17041015625,51.28076171875,125.85986328125,71.359619140625,58.093994140625,18.65185546875,76.181396484375,8.14990234375,10.418212890625,5.882080078125,6.7001953125,26.547607421875,9.97900390625,16.0,7.906982421875,3.168701171875,5.803955078125,209.93115234375,181.141357421875,822.403564453125,24.0,165.1,170.18,0.0,105.0703125,44.8515625,57.769317626953125,72.4296875,87.25,2.15625,68.4609375,15.8125,89.7890625,20.125,13.875,12.1640625,8.8515625,88.0,33.3828125,15.484375,10.640625,0.828125,0.15625,0.09375,110.1484375,162.796875,1129.59375,0.0,160.02,167.64,135.0,34.0,31.0
6,63.0,42.0,73.0,41.0,87.0,64.0,105.0,72.0,55.0,34.0,50.0,5.0,17.0,3.0,6.0,10.0,16.0,16.0,18.875,12.75,12.0,329.8321228027344,262.0,900.0,3.0,177.8,182.88,0.0,144.125,61.71875,57.769317626953125,86.6328125,81.28125,1.3984375,114.0,39.3984375,111.75,20.125,13.875,5.171875,3.984375,124.875,47.625,16.4375,10.125,7.3125,4.1640625,2.34375,98.28125,167.9921875,789.3359375,0.0,177.8,190.5,170.0,23.0,31.0
5,48.0,23.0,63.0,16.0,104.0,73.0,71.0,24.0,38.0,16.0,45.0,7.0,12.0,2.0,6.0,15.0,6.0,3.0,5.0,3.0,1.0,329.8321228027344,1.0,900.0,3.0,172.72,167.64,0.0,88.0,24.625,25.8125,26.25,25.875,0.0,73.3125,14.5625,52.6875,6.125,3.4375,7.4375,5.75,84.875,22.6875,2.25,1.125,0.8125,0.0,0.0,14.5,9.125,426.875,0.0,180.34,193.04,155.0,32.0,30.0
6,113.25,48.0,81.0,30.25,126.5,60.0,92.75,39.25,82.0,25.5,69.25,19.28375244140625,7.5,7.5,4.25,23.5,16.25,8.25,7.0,3.75,4.25,43.5,139.75,699.0,7.0,180.34,190.5,0.0,118.375,61.71875,28.0,93.3203125,44.625,1.625,86.625,39.875,63.25,15.25,10.875,4.75,4.0,76.0,33.625,17.0,11.921875,14.0,4.25,2.75,240.875,187.125,709.75,0.0,182.88,185.42,170.0,32.0,27.0
2,72.0,33.875,66.0,26.375,85.0,46.0,78.0625,36.375,55.0625,22.875,56.875,9.375,3.75,5.5,5.375,20.9375,4.75,4.125,2.625,2.3125,4.5,122.875,93.1875,509.6875,13.0,165.1,170.18,0.5,90.56982421875,22.30859375,43.64013671875,40.40234375,60.1162109375,0.3369140625,73.55322265625,12.1416015625,86.419921875,8.2294921875,2.6201171875,3.27001953125,2.6318359375,87.7939453125,20.81201171875,2.32275390625,1.1630859375,0.33349609375,6.26806640625,4.5224609375,316.97802734375,40.1787109375,813.7265625,0.0,162.56,165.1,125.0,28.0,34.0
8,25.0,5.5,11.5,5.0,25.5,6.0,11.5,5.0,19.5,1.5,11.0,0.0,0.0,4.0,0.5,1.0,1.5,1.0,0.0,0.0,4.0,0.0,2.5,200.0,3.0,175.26,185.42,0.0,78.453125,16.5,33.5,33.0,55.0,2.5,68.32687377929688,8.6875,90.5,3.953125,3.6875,9.5,4.375,62.375,11.0,3.9375,2.5,1.0,4.0,2.625,67.25,113.5,466.0,0.0,185.42,185.42,205.0,35.0,28.0
