B_Height_cms,B_Weight_lbs,B_age,B_total_rounds_fought,R_Reach_cms,weight_class,B_longest_win_streak,R_age,R_Height_cms,R_Weight_lbs,R_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_avg_CTRL_time(seconds),B_avg_LEG_landed,B_current_win_streak,R_avg_DISTANCE_landed,B_Stance_Orthodox,R_avg_TD_pct,B_avg_SIG_STR_pct,R_avg_opp_BODY_att,B_Reach_cms
182.88,185.0,26.0,0.0,177.8,7,0.0,21.0,182.88,185.0,104.125,94.5,99.75,3.625,0.0,18.25,True,0.25,0.4499999999999999,7.7141265869140625,190.5
177.8,155.0,27.0,19.0,187.96,5,3.0,30.0,180.34,170.0,252.3125,14.6015625,35.9453125,5.4921875,0.0,41.5625,True,0.5546875,0.394140625,17.59375,177.8
182.88,170.0,28.0,0.0,182.88,6,0.0,31.0,185.42,170.0,104.125,94.5,99.75,3.625,0.0,18.25,True,0.25,0.4499999999999999,7.7141265869140625,190.5
175.26,185.0,28.0,17.0,185.42,6,4.0,34.0,177.8,170.0,145.693754196167,67.15625,68.28125,2.6640625,3.0,14.901988983154297,False,0.4193683815002441,0.5864794921875001,8.554874420166016,175.26
165.1,135.0,34.0,24.0,167.64,3,2.0,31.0,160.02,135.0,110.1484375,181.141357421875,209.93115234375,5.882080078125,0.0,33.3828125,True,0.46671875,0.38146240234375,18.9375,170.18
177.8,170.0,23.0,3.0,190.5,6,0.0,31.0,177.8,170.0,98.28125,262.0,283.0,3.0,0.0,47.5,True,0.28125,0.5864794921875001,18.9375,182.88
172.72,145.0,32.0,3.0,193.04,5,1.0,30.0,180.34,155.0,14.5,1.0,283.0,2.0,1.0,22.6875,True,0.16625,0.47,15.0,167.64
180.34,170.0,32.0,7.0,185.42,6,1.0,27.0,182.88,170.0,240.875,139.75,43.5,7.5,1.0,33.625,True,0.06875,0.4599999999999999,6.875,190.5
165.1,125.0,28.0,13.0,165.1,2,2.0,34.0,162.56,125.0,316.97802734375,93.1875,122.875,5.5,2.0,20.81201171875,True,0.36517578125,0.505625,12.33447265625,170.18
175.26,185.0,34.0,3.0,185.42,8,0.0,28.0,185.42,205.0,104.125,2.5,0.0,4.0,0.0,18.25,True,0.25,0.21,7.7141265869140625,185.42
177.8,170.0,28.0,10.0,182.88,7,2.0,26.0,175.26,170.0,208.5,275.8466796875,264.5,7.75,2.0,3.25,True,0.25,0.4425,2.75,182.88
187.96,170.0,26.0,3.0,190.5,6,1.0,25.0,180.34,170.0,99.84375,0.0,269.0,11.0,1.0,5.34375,True,0.5484375,0.38,4.15625,193.04
177.8,170.0,34.0,14.0,193.04,6,2.0,30.0,185.42,170.0,11.5,87.1796875,21.171875,3.6484375,2.0,5.0,True,0.0,0.4428125,1.0,177.8
172.72,170.0,25.0,0.0,185.42,7,0.0,25.0,180.34,185.0,128.625,94.5,99.75,3.625,0.0,1.375,True,0.640675048828125,0.4499999999999999,2.625,177.8
187.96,205.0,23.0,1.0,182.88,6,1.0,31.0,175.26,155.0,43.125,0.0,1.0,0.0,1.0,12.25,True,0.34375,0.42,5.875,195.58
187.96,170.0,28.0,1.0,182.88,6,0.0,35.0,177.8,170.0,122.64052121341228,117.0,109.0,3.0,0.0,10.937916442751884,True,0.0154549202322959,0.35,2.623393148183822,193.04
185.42,205.0,34.0,2.0,187.96,8,1.0,31.0,187.96,205.0,323.796875,26.5,1.5,1.5,0.0,8.413818359375,True,0.51521728515625,0.575,1.19873046875,187.96
165.1,135.0,31.0,3.0,175.26,3,0.0,30.0,172.72,135.0,19.5,207.0,163.0,3.0,0.0,13.25,True,0.25,0.42,2.5,182.88
172.72,135.0,25.0,6.0,182.88,3,1.0,26.0,167.64,135.0,202.5,252.5,283.0,11.0,0.0,32.5,False,0.5,0.585,18.9375,177.8
