B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_HEAD_att,B_avg_DISTANCE_att,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_Height_cms,B_Reach_cms,R_avg_opp_SIG_STR_landed,R_avg_HEAD_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_Height_cms,R_Reach_cms
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,182.88,190.5,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,182.88,177.8
56.71875,91.8828125,106.25,115.609375,35.9453125,14.6015625,522.8359375,19.0,177.8,177.8,41.84375,93.46875,41.5625,110.25,1.09375,252.3125,115.0,890.59375,180.34,187.96
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,182.88,190.5,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,185.42,182.88
30.7421875,52.046875,30.3671875,25.703125,68.28125,67.15625,331.0703125,17.0,175.26,175.26,39.22499656677246,72.98862648010254,14.901988983154297,102.7551155090332,0.2265777587890625,145.693754196167,116.29281616210938,793.5677528381348,177.8,185.42
51.28076171875,125.85986328125,58.093994140625,56.636474609375,209.93115234375,181.141357421875,822.403564453125,24.0,165.1,170.18,57.5,68.4609375,33.3828125,102.640625,0.09375,110.1484375,162.796875,900.0,160.02,167.64
64.0,105.0,55.0,25.0,283.0,262.0,900.0,3.0,177.8,182.88,57.5,114.0,47.5,122.1015625,2.34375,98.28125,167.9921875,789.3359375,177.8,190.5
73.0,71.0,38.0,37.0,283.0,1.0,900.0,3.0,172.72,167.64,25.8125,73.3125,22.6875,73.5625,0.0,14.5,9.125,426.875,180.34,193.04
60.0,92.75,82.0,90.0,43.5,139.75,699.0,7.0,180.34,190.5,28.0,86.625,33.625,63.875,2.75,240.875,187.125,709.75,182.88,185.42
46.0,78.0625,55.0625,64.625,122.875,93.1875,509.6875,13.0,165.1,170.18,43.64013671875,73.55322265625,20.81201171875,90.88232421875,4.5224609375,316.97802734375,40.1787109375,813.7265625,162.56,165.1
6.0,11.5,19.5,23.5,0.0,2.5,200.0,3.0,175.26,185.42,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,185.42,185.42
87.625,55.25,52.75,38.75,264.5,275.8466796875,772.0,10.0,177.8,182.88,22.75,28.25,3.25,12.25,9.25,208.5,157.25,464.5,175.26,182.88
57.0,76.0,53.0,77.0,269.0,0.0,900.0,3.0,187.96,193.04,15.625,17.0625,5.34375,9.8125,7.53125,99.84375,228.90625,459.46875,180.34,190.5
38.90625,62.5703125,66.984375,70.6484375,21.171875,87.1796875,341.0625,14.0,177.8,177.8,24.0,15.5,5.0,9.5,10.9375,11.5,175.5,240.0,185.42,193.04
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,172.72,177.8,7.125,17.375,1.375,7.375,0.375,128.625,45.375,227.875,180.34,185.42
3.0,9.0,7.0,7.0,1.0,0.0,13.0,1.0,187.96,195.58,27.25,35.0,12.25,45.125,4.0,43.125,276.0,765.5,175.26,182.88
13.0,53.0,10.0,12.0,109.0,117.0,272.0,1.0,187.96,193.04,20.671986386179924,23.33826220035553,10.937916442751884,33.881482765078545,1.2968961745500565,122.64052121341228,11.1258292645216,310.6373598724604,177.8,182.88
21.0,46.5,35.0,33.5,1.5,26.5,173.5,2.0,185.42,187.96,10.037841796875,57.2197265625,8.413818359375,25.334228515625,2.453369140625,323.796875,16.441162109375,560.08544921875,187.96,187.96
73.0,152.9375,77.0,84.0,163.0,207.0,900.0,3.0,165.1,182.88,12.25,45.5,13.25,24.0,0.0,19.5,2.5,172.25,172.72,175.26
75.5,98.5,61.0,52.5,283.0,252.5,900.0,6.0,172.72,177.8,57.5,87.5,32.5,100.5,10.0,202.5,255.0,900.0,167.64,182.88
63.25,129.53125,94.53125,115.609375,106.96875,6.09375,722.75,14.0,162.56,162.56,45.0,101.0,47.5,84.75,3.0,131.75,154.75,900.0,167.64,165.1
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,177.8,187.96,13.75,47.5,7.5,16.5,4.75,170.25,83.25,583.75,182.88,190.5
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,182.88,182.88,4.34375,29.65625,3.1875,9.8125,0.25,323.796875,9.5,442.0625,177.8,185.42
57.37646484375,78.10693359375,40.15087890625,34.51025390625,245.8671875,275.8466796875,759.27734375,23.0,177.8,187.96,30.72021484375,73.236572265625,22.38525390625,40.841552734375,1.2958984375,323.796875,159.0703125,871.9921875,172.72,172.72
28.75,132.25,48.5,41.25,10.0,193.0,464.25,5.0,180.34,193.04,20.0,15.0,5.0,17.0,10.9375,14.0,276.0,453.0,190.5,182.88
