weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_HEAD_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_total_time_fought(seconds),B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_opp_TOTAL_STR_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
5.0,137.4609375,89.953125,31.296875,141.2109375,56.71875,91.8828125,33.078125,117.3125,83.2109375,3.9609375,2.0703125,127.03125,88.6953125,30.8828125,522.8359375,3.0,177.8,155.0,129.59375,0.0,180.34,187.96,170.0,1.0,177.8
6.0,39.21875,37.2265625,14.53125,51.5,30.7421875,52.046875,28.671875,30.3671875,28.7734375,6.65625,4.453125,25.703125,24.234375,6.359375,331.0703125,4.0,175.26,185.0,125.44104194641112,5.0,177.8,185.42,170.0,1.0,175.26
3.0,74.5224609375,93.2998046875,42.4130859375,102.17041015625,51.28076171875,125.85986328125,71.359619140625,58.093994140625,76.181396484375,10.418212890625,9.236328125,56.636474609375,69.770263671875,26.547607421875,822.403564453125,0.0,165.1,135.0,168.796875,3.0,160.02,167.64,135.0,1.0,170.18
5.0,48.0,63.0,16.0,104.0,73.0,71.0,24.0,38.0,45.0,12.0,3.0,37.0,59.0,15.0,900.0,0.0,172.72,145.0,75.1875,1.0,180.34,193.04,155.0,1.0,167.64
6.0,113.25,81.0,30.25,126.5,60.0,92.75,39.25,82.0,69.25,7.5,3.75,90.0,68.5,23.5,699.0,1.0,180.34,170.0,94.375,0.0,182.88,185.42,170.0,1.0,190.5
2.0,72.0,66.0,26.375,85.0,46.0,78.0625,36.375,55.0625,56.875,3.75,3.0,64.625,57.375,20.9375,509.6875,0.0,165.1,125.0,120.00732421875,0.0,162.56,165.1,125.0,1.0,170.18
6.0,99.0,57.0,5.0,118.0,57.0,76.0,24.0,53.0,44.0,4.0,1.0,77.0,53.0,4.0,900.0,0.0,187.96,170.0,42.90625,0.0,180.34,190.5,170.0,1.0,193.04
6.0,86.96875,59.296875,26.15625,90.390625,38.90625,62.5703125,28.828125,66.984375,43.1484375,9.03125,4.1015625,70.6484375,50.84375,20.2890625,341.0625,1.0,177.8,170.0,54.5,1.0,185.42,193.04,170.0,1.0,177.8
6.0,7.0,9.0,2.0,7.0,3.0,9.0,2.0,7.0,8.0,0.0,0.0,7.0,9.0,2.0,13.0,1.0,187.96,205.0,94.0,0.0,175.26,182.88,155.0,1.0,195.58
6.0,17.0,29.0,18.0,28.0,13.0,53.0,40.0,10.0,22.0,6.0,3.0,12.0,9.0,2.0,272.0,0.0,187.96,170.0,47.18518353998661,5.0,177.8,182.88,170.0,1.0,193.04
