weight_class,B_avg_KD,B_avg_opp_KD,B_avg_SIG_STR_pct,B_avg_opp_SIG_STR_pct,B_avg_TD_pct,B_avg_opp_TD_pct,B_avg_SUB_ATT,B_avg_opp_SUB_ATT,B_avg_REV,B_avg_opp_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_BODY_att,B_avg_BODY_landed,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,gender,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
5,0.78515625,0.0,0.394140625,0.352421875,0.23921875,0.011484375,0.15625,0.1328125,0.0,0.0,137.4609375,53.234375,89.953125,31.296875,141.2109375,56.71875,91.8828125,33.078125,2.0,0.625,1.8359375,0.0859375,117.3125,39.9765625,83.2109375,27.1328125,13.625,7.765625,3.9609375,2.0703125,6.5234375,5.4921875,2.78125,2.09375,127.03125,46.8125,88.6953125,30.8828125,5.671875,3.6796875,0.7109375,0.0546875,4.7578125,2.7421875,0.546875,0.359375,35.9453125,14.6015625,522.8359375,19,1,0,1,3,6,2,0,0,0,3,3,0,0,177.8,177.8,155.0,0.5,0.34375,0.49875,0.3390625,0.5546875,0.2075,0.5625,0.3125,0.5,0.03125,124.5,60.5625,117.8125,41.84375,156.03125,87.59375,129.59375,53.09375,3.5,1.875,5.8125,0.9375,93.46875,37.78125,92.25,27.65625,21.65625,14.8505859375,17.59375,8.3125,9.375,5.3125,7.96875,5.875,98.25,41.5625,110.25,38.40625,14.28125,11.75,4.5625,2.34375,11.96875,7.25,3.0,1.09375,252.3125,115.0,890.59375,17,0,2,0,3,5,1,0,0,0,4,0,1,0,180.34,187.96,170.0,27.0,30.0,1,False,True,False,False,False,True,False,False
6,0.6953125,0.0,0.6008387756347656,0.185546875,0.08828125,0.104375,0.09375,0.0625,0.0,0.0,39.21875,19.015625,37.2265625,14.53125,51.5,30.7421875,52.046875,28.671875,2.578125,0.8046875,1.625,0.4453125,30.3671875,11.8046875,28.7734375,8.3671875,5.4296875,4.546875,6.65625,4.453125,3.421875,2.6640625,1.796875,1.7109375,25.703125,8.875,24.234375,6.359375,11.8671875,8.6171875,12.1796875,7.359375,1.6484375,1.5234375,0.8125,0.8125,68.28125,67.15625,331.0703125,17,0,3,0,4,7,1,0,0,1,1,4,0,0,175.26,175.26,185.0,0.020050048828125,0.0117225646972656,0.373517723083496,0.3255670928955078,0.4193683815002441,0.1552593994140625,0.0938663482666015,0.0072383880615234,1.52587890625e-05,0.0001373291015625,81.38787651062012,27.139766693115234,109.99836349487305,39.22499656677246,96.13076210021973,41.37993812561035,125.44104194641112,53.25947189331055,2.766176223754883,1.4408092498779297,3.660690307617188,1.0005035400390625,72.98862648010254,19.69515419006348,92.6004581451416,27.68807601928711,8.181121826171875,7.28924560546875,8.554874420166016,4.7132415771484375,0.2181282043457031,0.1553668975830078,8.84303092956543,6.823678970336914,67.44122505187988,14.901988983154297,102.7551155090332,33.40902519226074,8.778823852539062,7.3935546875,6.983451843261719,5.589393615722656,5.167827606201172,4.8442230224609375,0.259796142578125,0.2265777587890625,145.693754196167,116.29281616210938,793.5677528381348,38,1,2,0,5,11,5,0,0,1,4,5,3,0,177.8,185.42,170.0,28.0,34.0,1,False,False,True,False,False,True,False,False
3,0.5,0.2666015625,0.38146240234375,0.4565576171875,0.4296142578125,0.4695703125,1.3515625,0.000244140625,0.125,0.5,74.5224609375,29.986572265625,93.2998046875,42.4130859375,102.17041015625,51.28076171875,125.85986328125,71.359619140625,6.8447265625,3.0,3.682373046875,1.380859375,58.093994140625,18.65185546875,76.181396484375,26.92578125,8.14990234375,5.45263671875,10.418212890625,9.236328125,8.278564453125,5.882080078125,6.7001953125,6.2509765625,56.636474609375,20.501220703125,69.770263671875,26.547607421875,9.97900390625,6.316650390625,16.5,11.0,7.906982421875,3.168701171875,5.803955078125,3.843017578125,209.93115234375,181.141357421875,822.403564453125,31,1,0,1,2,6,5,0,0,0,3,0,2,0,165.1,170.18,135.0,0.3203125,0.0,0.416328125,0.42,0.46671875,0.1603125,0.0,0.0,0.0,0.0,105.0703125,44.8515625,126.03125,59.6171875,134.6484375,72.4296875,168.796875,87.5625,2.625,1.171875,6.3125,2.15625,68.4609375,15.8125,89.7890625,35.625,22.0,14.8505859375,20.0,14.0,11.4140625,9.9375,12.1640625,8.8515625,88.0,33.3828125,102.640625,43.3984375,15.484375,10.640625,16.3544921875,11.385772705078123,1.5859375,0.828125,0.15625,0.09375,110.1484375,162.796875,1129.59375,22,2,3,0,3,6,2,0,0,0,2,3,0,0,160.02,167.64,135.0,34.0,31.0,1,False,True,False,False,False,True,False,False
5,0.0,0.0,0.47,0.25,0.75,0.0,0.0,0.0,0.0,0.0,48.0,23.0,63.0,16.0,104.0,73.0,71.0,24.0,4.0,3.0,6.39453125,0.0,38.0,16.0,45.0,11.0,7.0,5.0,12.0,3.0,3.0,2.0,6.0,2.0,37.0,17.0,59.0,15.0,6.0,3.0,3.0,1.0,5.0,3.0,1.0,0.0,327.24725341796875,1.0,900.0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,172.72,167.64,145.0,0.0625,0.25,0.3175,0.404375,0.16625,0.0,0.625,0.0,0.0,0.0,88.0,24.625,75.125,25.8125,90.25,26.25,75.1875,25.875,0.5625,0.25,1.875,0.0,73.3125,14.5625,52.6875,12.8125,6.125,3.4375,15.0,7.25,8.5625,6.625,7.4375,5.75,84.875,22.6875,73.5625,25.0625,2.25,1.125,1.5625,0.75,0.875,0.8125,0.0,0.0,14.5,9.125,426.875,9,1,3,0,3,4,1,0,0,0,1,1,1,0,180.34,193.04,155.0,32.0,30.0,1,False,True,False,False,False,True,False,False
6,0.5,0.0,0.4599999999999999,0.2925,0.125,0.1,0.0,0.0,0.0,0.0,113.25,48.0,81.0,30.25,126.5,60.0,92.75,39.25,1.5,0.25,1.75,0.5,82.0,25.5,69.25,23.0,21.5,15.0,7.5,3.75,9.25,7.5,4.25,3.5,90.0,32.0,68.5,23.5,16.25,12.25,8.25,4.0,7.0,3.75,4.25,2.75,43.5,139.75,699.0,7,0,1,0,1,2,1,0,0,0,1,1,0,0,180.34,190.5,170.0,0.25,0.0,0.5375000000000001,0.38375,0.06875,0.1975,0.0,0.25,0.0,0.0,118.375,65.25,74.875,28.0,157.5,97.75,94.375,44.625,1.125,0.625,5.375,1.625,86.625,39.875,63.25,19.625,15.25,10.875,6.875,4.375,16.5,13.396484375,4.75,4.0,76.0,33.625,63.875,22.125,17.234375,12.0,6.75,3.125,21.0,14.0390625,4.25,2.75,240.875,187.125,709.75,10,0,1,0,1,2,2,0,0,0,2,0,0,0,182.88,185.42,170.0,32.0,27.0,1,False,True,False,False,False,True,False,False
2,0.0625,0.0,0.505625,0.5025,0.208125,0.163125,1.3515625,0.0,0.5,0.25,72.0,33.875,66.0,26.375,85.0,46.0,78.0625,36.375,0.875,0.25,4.125,1.625,55.0625,22.875,56.875,19.8125,9.375,5.5,3.75,3.0,7.5625,5.5,5.375,3.5625,64.625,28.3125,57.375,20.9375,4.75,3.25,4.125,2.0,2.625,2.3125,4.5,3.4375,122.875,93.1875,509.6875,13,0,2,0,2,4,1,0,0,1,1,0,2,0,165.1,170.18,125.0,0.0,0.13232421875,0.2394287109375,0.4301513671874999,0.36517578125,0.160947265625,0.5810546875,0.3125,0.00439453125,0.5,90.56982421875,22.30859375,102.0244140625,43.64013671875,114.232421875,40.40234375,120.00732421875,60.1162109375,7.0625,3.0,0.47412109375,0.3369140625,73.55322265625,12.1416015625,86.419921875,32.2490234375,8.2294921875,2.6201171875,12.33447265625,8.75927734375,8.787109375,7.546875,3.27001953125,2.6318359375,87.7939453125,20.81201171875,90.88232421875,35.74169921875,2.32275390625,1.1630859375,4.8740234375,3.3759765625,0.453125,0.33349609375,6.26806640625,4.5224609375,316.97802734375,40.1787109375,813.7265625,31,1,1,0,3,7,5,0,0,0,4,0,2,0,162.56,165.1,125.0,28.0,34.0,1,False,True,False,False,False,False,True,False
6,0.0,0.0,0.38,0.08,0.6,0.0,0.0,0.0,0.0,0.0,99.0,38.0,57.0,5.0,118.0,57.0,76.0,24.0,6.8447265625,3.0,0.0,0.0,53.0,12.0,44.0,1.0,9.0,5.0,4.0,1.0,16.0,12.75,9.0,3.0,77.0,26.0,53.0,4.0,16.0,10.0,4.0,1.0,6.0,2.0,0.0,0.0,269.0,0.0,900.0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,187.96,193.04,170.0,0.75,0.03125,0.604716796875,0.57,0.5484375,0.370625,1.203125,0.25,0.09375,0.5,21.65625,12.875,24.4375,15.625,28.09375,18.375,42.90625,31.96875,3.375,1.25,2.34375,1.0625,17.0625,8.625,17.15625,10.75,2.9375,2.65625,4.15625,2.3125,1.65625,1.59375,3.125,2.5625,12.21875,5.34375,9.8125,4.40625,3.0,2.6875,5.25,3.6875,6.4375,4.84375,9.375,7.53125,99.84375,228.90625,459.46875,11,0,1,0,2,4,2,0,0,0,1,0,3,0,180.34,190.5,170.0,26.0,25.0,1,False,True,False,False,False,True,False,False
6,0.0078125,0.53125,0.4428125,0.45953125,0.0625,0.12703125,0.0,0.265625,0.0,0.0,86.96875,36.4296875,59.296875,26.15625,90.390625,38.90625,62.5703125,28.828125,0.5,0.125,3.171875,0.4296875,66.984375,21.984375,43.1484375,15.8984375,15.7734375,10.796875,9.03125,4.1015625,4.2109375,3.6484375,7.1171875,6.15625,70.6484375,24.2890625,50.84375,20.2890625,15.8359375,11.828125,4.75,3.25,0.484375,0.3125,3.703125,2.6171875,21.171875,87.1796875,341.0625,14,0,2,0,2,4,4,0,0,1,2,1,0,0,177.8,177.8,170.0,0.7525081634521484,0.0,0.475,0.39,0.0,0.5,0.0,0.0,0.0,0.0,19.0,8.5,39.5,24.0,27.0,16.0,54.5,38.0,0.0,0.0,1.5,1.0,15.5,5.5,36.5,22.5,0.0,0.0,1.0,1.0,3.5,3.0,2.0,0.5,13.0,5.0,9.5,2.0,2.5,2.0,0.0,0.0,3.5,1.5,16.4375,11.25390625,11.5,175.5,240.0,3,0,1,0,1,1,1,0,0,0,0,1,0,0,185.42,193.04,170.0,34.0,30.0,1,False,True,False,False,False,True,False,False
6,0.78515625,0.0,0.42,0.22,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,9.0,2.0,7.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,187.96,195.58,205.0,0.0,0.25,0.3525,0.4812499999999999,0.34375,0.56,0.25,1.0,0.0,0.0,46.25,16.875,65.375,27.25,76.5,46.75,94.0,53.0,1.5,0.625,4.125,2.46875,35.0,7.75,53.375,16.0,4.875,4.0,5.875,5.125,6.375,5.125,6.125,6.125,39.0,12.25,45.125,14.25,6.375,4.0,11.25,9.0,0.875,0.625,9.0,4.0,43.125,279.96875,765.5,10,0,0,1,1,1,3,0,0,0,0,0,1,0,175.26,182.88,155.0,23.0,31.0,1,False,True,False,False,False,False,True,False
6,0.0,0.53125,0.35,0.5747323608398438,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,29.0,18.0,28.0,13.0,53.0,40.0,2.0,0.0,2.0,0.0,10.0,1.0,22.0,14.0,2.0,2.0,6.0,3.0,5.0,3.0,1.0,1.0,12.0,5.0,9.0,2.0,5.0,1.0,3.0,3.0,0.0,0.0,16.609375,11.09375,109.0,117.0,272.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,187.96,193.04,170.0,0.0019764900207519,0.5625,0.4937236085534096,0.5332044643163681,0.0154549202322959,0.0216538095474243,0.0127574652433395,0.125499814748764,1.5497207641601562e-06,7.659196853637695e-06,31.777252659201626,15.630906447768211,41.576322346925735,20.671986386179924,36.60321123898029,19.95069682598114,47.18518353998661,25.81567978858948,1.9684573113918304,0.0826078951358795,0.4010323584079742,0.0694968104362487,23.33826220035553,9.788333803415298,36.57912783324719,16.527522921562195,6.313090190291405,3.824708417057991,2.623393148183822,1.8854959309101105,2.1259002685546875,2.017864227294922,2.373801365494728,2.2589675337076187,26.13777366280556,10.937916442751884,33.881482765078545,14.24059447646141,1.811219930648804,1.3704806566238403,5.7531794756650925,5.134495735168457,3.828259065747261,3.3225093483924866,1.9416601061820984,1.2968961745500565,122.64052121341228,11.1258292645216,310.6373598724604,38,2,4,0,6,11,6,0,0,1,4,5,0,0,177.8,182.88,170.0,28.0,36.0,1,False,True,False,False,False,False,True,False
