B_avg_DISTANCE_landed,R_avg_opp_SIG_STR_landed,R_avg_opp_HEAD_landed,R_losses,R_age,Winner
11.0,27.3203125,19.543212890625,0.0,21.0,Red
45.5,41.84375,27.65625,1.0,30.0,Blue
16.2119140625,33.0,26.0,0.0,31.0,Blue
8.875,39.22499656677246,27.68807601928711,5.0,34.0,Blue
20.501220703125,57.769317626953125,35.625,2.0,31.0,Red
8.0,57.769317626953125,37.7607421875,3.0,31.0,Red
17.0,25.8125,12.8125,1.0,30.0,Red
32.0,28.0,19.625,2.0,27.0,Blue
28.3125,43.64013671875,32.2490234375,5.0,34.0,Blue
5.0,33.5,11.5,0.0,28.0,Red
11.5,22.75,15.75,1.0,26.0,Red
26.0,15.625,10.75,2.0,25.0,Blue
24.2890625,24.0,22.5,1.0,30.0,Red
16.0,7.125,4.125,0.0,25.0,Red
3.0,27.25,16.0,3.0,31.0,Red
5.0,20.671986386179924,16.527522921562195,5.0,35.0,Red
13.0,10.037841796875,7.125244140625,4.0,31.0,Red
30.0,12.25,9.75,2.0,30.0,Red
21.0,57.769317626953125,32.5,0.0,26.0,Blue
45.5,45.0,25.25,1.0,32.0,Draw
14.8046875,13.75,10.0,1.0,30.0,Red
30.25,4.34375,1.4375,1.0,29.0,Red
14.2900390625,30.72021484375,22.779541015625,5.0,30.0,Blue
17.5,20.0,19.0,1.0,23.0,Blue
37.0,57.769317626953125,26.97265625,3.0,29.0,Blue
12.0,10.76171875,6.67578125,3.0,28.0,Blue
37.0,23.0,15.0,1.0,30.0,Draw
23.0,47.25,33.5625,3.0,33.0,Red
16.4375,38.0,27.0,0.0,23.0,Red
13.1875,9.0,9.0,1.0,25.0,Blue
28.5,36.0,31.5,1.0,33.0,Red
18.5,26.0,22.3125,0.0,28.0,Red
13.75,29.0,30.5625,0.0,25.0,Blue
29.875,57.769317626953125,37.7607421875,0.0,25.0,Red
19.5,16.015625,10.00390625,4.0,26.0,Blue
22.21875,31.4375,20.125,0.0,33.0,Blue
22.7193603515625,27.865234375,19.5810546875,5.0,30.0,Red
4.0,42.0,26.0,2.0,30.0,Red
45.5,47.5,35.5,2.0,30.0,Red
45.5,51.87809825828299,36.26956543006236,5.0,35.0,Draw
9.1875,21.03125,11.5625,2.0,32.0,Red
