B_avg_DISTANCE_landed,R_avg_opp_SIG_STR_pct,R_age,B_avg_CTRL_time(seconds),B_avg_opp_SIG_STR_pct,B_avg_HEAD_att,B_avg_opp_LEG_att,B_age,B_avg_DISTANCE_att,R_losses,R_avg_opp_HEAD_landed,R_avg_opp_LEG_att,R_avg_LEG_att,B_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_BODY_landed,R_avg_SUB_ATT,R_avg_opp_DISTANCE_att,R_avg_BODY_landed,R_avg_opp_CTRL_time(seconds),Winner
11.0,0.445,21.0,132.2890625,0.44375,25.0625,2.5,26.0,24.125,0.0,19.543212890625,4.600341796875,7.75,2.0,8.09375,4.0,1.0,54.875,4.5,204.625,Red
45.5,0.3390625,30.0,35.9453125,0.352421875,109.0,2.78125,27.0,117.5,1.0,27.65625,7.96875,9.375,4.7578125,7.25,8.3125,0.5625,110.25,13.875,115.0,Blue
16.2119140625,0.225,31.0,16.1875,0.313125,55.0,5.0634765625,28.0,60.0,0.0,26.0,3.0,5.0,8.78125,0.84375,1.0,1.25,82.2294921875,10.116485595703123,78.57709121704102,Blue
8.875,0.3255670928955078,34.0,68.28125,0.185546875,30.3671875,1.796875,28.0,25.703125,5.0,27.68807601928711,8.84303092956543,0.2181282043457031,1.6484375,4.8442230224609375,4.7132415771484375,0.0938663482666015,102.7551155090332,7.28924560546875,116.29281616210938,Blue
20.501220703125,0.42,31.0,209.93115234375,0.4565576171875,58.093994140625,6.7001953125,34.0,56.636474609375,2.0,35.625,12.1640625,11.4140625,7.906982421875,0.828125,13.15216064453125,0.0,102.640625,13.875,162.796875,Red
8.0,0.401484375,31.0,329.8321228027344,0.56,55.0,6.0,23.0,25.0,3.0,37.7607421875,5.171875,15.9783935546875,18.875,7.3125,12.640625,0.015625,122.688232421875,13.875,167.9921875,Red
17.0,0.404375,30.0,329.8321228027344,0.25,38.0,6.0,32.0,37.0,1.0,12.8125,7.4375,8.5625,5.0,0.8125,7.25,0.625,73.5625,3.4375,9.125,Red
32.0,0.38375,27.0,43.5,0.2925,82.0,4.25,32.0,90.0,2.0,19.625,4.75,15.9783935546875,7.0,14.0,4.375,0.0,63.875,10.875,187.125,Blue
28.3125,0.4301513671874999,34.0,122.875,0.5025,55.0625,5.375,28.0,64.625,5.0,32.2490234375,3.27001953125,8.787109375,2.625,0.33349609375,8.75927734375,0.5810546875,90.88232421875,2.6201171875,40.1787109375,Blue
5.0,0.255625,28.0,0.0,0.42,19.5,0.5,35.0,23.5,0.0,11.5,9.5,6.5,0.0,1.0,5.5,0.75,93.375,3.6875,113.5,Red
11.5,0.58,26.0,264.5,0.5549999999999999,52.75,0.75,28.0,38.75,1.0,15.75,5.25,1.75,11.75,14.0,2.25,0.5,12.25,8.0,157.25,Red
26.0,0.5746875,25.0,269.0,0.08,53.0,9.0,26.0,77.0,2.0,10.75,3.125,1.65625,6.0,4.84375,2.3125,1.25,9.8125,2.65625,228.90625,Blue
24.2890625,0.39,30.0,21.171875,0.45953125,66.984375,7.1171875,34.0,70.6484375,1.0,22.5,2.0,3.5,0.484375,1.5,1.0,0.0,9.5,0.0,175.5,Red
16.0,0.52,25.0,209.8125,0.3425,46.6875,1.5,25.0,59.609375,0.0,4.125,1.125,0.875,4.5,7.125,2.0,0.25,7.375,3.75,45.375,Red
3.0,0.4812499999999999,31.0,1.0,0.22,7.0,1.0,23.0,7.0,3.0,16.0,6.125,6.375,0.0,0.625,5.125,0.25,45.125,4.0,298.80078125,Red
5.0,0.5332044643163681,35.0,109.0,0.59,10.0,1.0,28.0,12.0,5.0,16.527522921562195,2.373801365494728,2.1259002685546875,0.0,3.3225093483924866,1.8854959309101105,0.0127574652433395,33.881482765078545,3.824708417057991,11.1258292645216,Red
13.0,0.3263330078124999,31.0,1.5,0.525,35.0,7.5,34.0,33.5,4.0,7.125244140625,1.89404296875,1.82470703125,1.0,14.0,1.057861328125,0.37548828125,25.334228515625,3.365478515625,16.441162109375,Red
30.0,0.2675,30.0,163.0,0.56,77.0,8.0,31.0,84.0,2.0,9.75,1.25,6.0,6.0,1.5,2.0,0.0,24.0,2.0,2.5,Red
21.0,0.51,26.0,329.8321228027344,0.5549999999999999,61.0,6.0,25.0,52.5,0.0,32.5,8.5,4.0,18.875,6.5,13.15216064453125,1.25,100.5,8.5,255.0,Blue
45.5,0.395,32.0,106.96875,0.3625,94.53125,14.1796875,32.0,117.5,1.0,25.25,6.25,15.9783935546875,5.34375,3.5,13.15216064453125,0.5,84.75,13.875,154.75,Draw
14.8046875,0.58,30.0,39.6875,0.43,54.5,6.0,27.0,66.0,1.0,10.0,0.75,6.75,0.0,3.5,3.0,0.5,16.5,3.75,83.25,Red
