B_avg_DISTANCE_landed,R_avg_opp_SIG_STR_pct,R_age,B_avg_CTRL_time(seconds),B_avg_opp_SIG_STR_pct,B_avg_HEAD_att,B_avg_opp_LEG_att,B_age,B_avg_DISTANCE_att,R_losses,R_avg_opp_HEAD_landed,R_avg_opp_LEG_att,R_avg_LEG_att,B_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_BODY_landed,R_avg_SUB_ATT,R_avg_opp_DISTANCE_att,R_avg_BODY_landed,R_avg_opp_CTRL_time(seconds)
17.6875,0.26625,27.0,349.5,0.44875,60.3125,0.625,35.0,58.125,1.0,20.5625,4.9375,15.21160888671875,12.875,1.9375,13.1875,0.0,126.8125,13.5625,94.9375
16.0625,0.5362792968750001,31.0,9.6875,0.371875,37.125,8.125,28.0,42.6875,5.0,22.541015625,14.3125,13.2587890625,0.125,1.556640625,13.3203125,0.0732421875,67.904296875,8.3369140625,273.6689453125
14.0,0.36,30.0,349.5,0.48,61.0,4.0,24.0,40.0,1.0,41.5,14.3125,15.21160888671875,19.0,1.0,13.3203125,0.0,126.8125,5.0,40.5
0.0,0.4,23.0,349.5,0.605,11.0,4.0,27.0,2.0,0.0,30.21875,5.6329345703125,2.6875,9.0,11.0,11.0,0.0,126.8125,6.0,37.28125
5.71875,0.33,24.0,219.75,0.4393749999999999,24.25,3.046875,33.0,18.984375,1.0,13.0,0.0,4.5,7.703125,0.5,1.0,1.125,5.0,1.0,0.0
23.0,0.296171875,22.0,68.5,0.42,43.1875,1.0,28.0,27.0,0.0,41.5,3.796875,15.21160888671875,7.25,7.625,2.0,0.0,104.0,2.20703125,85.0
18.0,0.4384846305847167,39.0,259.0,0.55,72.5,4.0,30.0,35.0,5.0,11.549166202545166,9.99987268447876,6.471562385559082,19.90234375,0.5572729110717773,3.077404022216797,0.0001330375671386,35.024115562438965,3.963397026062012,37.34788465499878
5.0,0.451690673828125,31.0,166.25,0.1575,22.25,0.75,21.0,10.75,5.0,40.73638916015625,14.3125,9.821517944335938,10.25,3.1585845947265625,12.144851684570312,0.0,126.8125,4.390045166015625,109.8029327392578
13.0,0.334375,30.0,38.25,0.56,43.0,4.3125,26.0,35.0,0.0,11.5,3.25,0.0,6.25,2.0,3.25,0.0,15.0,7.390625,11.0
40.75,0.4075,38.0,36.4375,0.469609375,77.0625,13.8046875,25.0,100.16015625,2.0,9.25,3.75,5.375,5.8515625,6.0,5.25,0.5,24.875,8.0,150.375
