R_avg_opp_DISTANCE_landed,R_age,R_avg_opp_SIG_STR_pct,B_avg_DISTANCE_landed,R_avg_opp_CLINCH_att,B_avg_opp_LEG_landed,B_avg_BODY_landed,B_avg_opp_BODY_landed,B_avg_GROUND_att,R_avg_opp_HEAD_landed,B_avg_opp_CTRL_time(seconds),R_avg_GROUND_landed,R_avg_opp_BODY_att,R_avg_CLINCH_att,R_avg_HEAD_landed,B_avg_CLINCH_att,B_age,R_avg_TD_landed,B_avg_BODY_att,R_avg_TOTAL_STR_landed,Winner
31.0,21.0,0.37,19.0,7.5,3.4375,3.5,8.433837890625,0.0,19.82787704467773,74.0,0.455657958984375,13.5,3.621492385864258,40.0,12.0,26.0,1.0,6.25,61.234375,Red
38.40625,30.0,0.3390625,46.8125,4.5625,2.09375,7.765625,2.0703125,4.7578125,27.65625,14.6015625,7.25,17.59375,14.28125,37.78125,5.671875,27.0,1.875,13.625,87.59375,Blue
15.0,31.0,0.3731640625,17.0,14.439689636230469,0.25,5.25,2.125,22.75,15.5625,40.0,0.0,6.0,11.586592197418211,21.25,7.0,28.0,1.625,7.375,36.0,Blue
33.40902519226074,34.0,0.3255670928955078,8.875,6.983451843261719,1.7109375,4.546875,4.453125,1.6484375,27.68807601928711,67.15625,4.8442230224609375,8.554874420166016,8.778823852539062,19.69515419006348,11.8671875,28.0,1.4408092498779297,5.4296875,41.37993812561035,Blue
43.3984375,31.0,0.42,20.501220703125,23.234375,6.2509765625,5.45263671875,9.236328125,7.906982421875,35.625,181.141357421875,0.828125,24.078125,15.484375,15.8125,9.97900390625,34.0,1.171875,8.14990234375,72.4296875,Red
61.015625,31.0,0.401484375,8.0,20.1640625,4.0,5.0,17.0,22.0,59.8046875,262.0,7.3125,22.3359375,16.4375,39.3984375,16.0,23.0,0.5625,5.0,86.6328125,Red
25.0625,30.0,0.404375,17.0,1.5625,2.0,5.0,3.0,5.0,12.8125,1.0,0.8125,15.0,2.25,14.5625,6.0,32.0,0.25,7.0,26.25,Red
22.125,27.0,0.38375,32.0,6.75,3.5,15.0,3.75,7.0,19.625,139.75,19.0,6.875,19.25,39.875,16.25,32.0,0.625,22.0,100.625,Blue
35.74169921875,34.0,0.4301513671874999,28.3125,4.8740234375,3.5625,5.5,3.0,2.625,32.2490234375,93.1875,0.33349609375,12.33447265625,2.32275390625,12.1416015625,4.75,28.0,5.81884765625,9.375,40.40234375,Blue
28.0,28.0,0.5811328124999999,5.0,21.0,0.5,0.0,0.0,0.0,38.0,2.5,1.875,8.5,19.0,17.09375,1.5,35.0,3.0,0.0,56.18799591064453,Red
7.0,26.0,0.6525000000000001,11.5,8.0,0.75,8.5,1.75,11.75,15.75,277.0,15.25,2.75,6.75,14.5,22.0,28.0,0.5,9.5,82.0,Red
4.40625,25.0,0.5746875,26.0,5.25,3.0,5.0,1.0,6.0,10.75,0.0,4.84375,4.15625,3.0,8.625,16.0,26.0,1.25,9.0,18.375,Blue
2.0,30.0,0.39,24.2890625,0.0,6.15625,10.796875,4.1015625,0.484375,22.5,87.1796875,1.5,1.0,2.5,5.5,15.8359375,34.0,0.0,15.7734375,16.0,Red
2.75,25.0,0.52,21.375,6.875,3.5,2.0,12.0,15.0625,4.125,265.0,7.125,2.625,7.625,8.5,4.0,25.0,0.75,3.75,40.125,Red
14.25,31.0,0.4812499999999999,3.0,11.25,1.0,0.0,0.0,0.0,16.0,0.0,0.625,5.875,6.375,7.75,0.0,23.0,0.625,0.0,46.75,Red
14.24059447646141,36.0,0.5332044643163681,5.0,5.7531794756650925,1.0,2.0,3.0,0.0,16.527522921562195,117.0,3.3225093483924866,2.623393148183822,1.811219930648804,9.788333803415298,5.0,28.0,0.0826078951358795,2.0,19.95069682598114,Red
7.13818359375,31.0,0.3263330078124999,13.0,0.4521484375,6.5,3.0,2.0,1.0,7.125244140625,26.5,28.318603515625,1.19873046875,5.203369140625,35.68603515625,6.5,34.0,1.640380859375,4.5,86.61865234375,Red
9.25,30.0,0.2675,30.0,3.75,5.0,19.0,15.0,6.0,9.75,207.0,1.5,2.5,7.25,11.75,19.0,31.0,0.25,25.0,19.25,Red
48.0,26.0,0.51,21.0,4.0,6.0,16.0,23.5,34.5,32.5,252.5,6.5,33.5,7.5,31.0,12.0,25.0,0.5,21.0,66.0,Blue
26.5,32.0,0.395,49.53125,23.5,18.09375,13.8125,4.84375,5.34375,25.25,6.09375,3.5,23.5,38.25,36.5,4.34375,32.0,0.5,19.125,99.0,Draw
7.25,30.0,0.585,12.328125,2.5,5.0,8.0,7.5,1.5,10.0,28.984375,3.5,3.5,10.0,9.0,13.375,27.0,1.25,9.0,26.0,Red
3.46875,29.0,0.44125,13.0,0.875,4.0,12.75,30.0,14.0,1.4375,252.5,20.75,1.0625,0.25,19.40625,11.0419921875,31.0,2.21875,15.8759765625,46.90625,Red
17.967041015625,30.0,0.517708740234375,14.2900390625,15.3243408203125,3.5244140625,10.63134765625,7.08056640625,8.61474609375,22.779541015625,332.9765625,8.91650390625,5.4051513671875,22.1737060546875,25.9525146484375,15.18896484375,25.0,3.29833984375,13.20751953125,97.0079345703125,Blue
3.0,23.0,0.57,17.5,2.0,7.5,4.5,5.0,0.5,19.0,193.0,2.0,2.0,2.0,6.0,12.25,36.0,0.0,5.0,11.0,Blue
35.7265625,29.0,0.391015625,37.0,26.05078125,2.5,11.0,8.0,24.0,26.97265625,23.5,3.05859375,36.72265625,10.52734375,30.83203125,5.0,29.0,0.66796875,19.0,76.53125,Blue
5.62109375,28.0,0.750546875,12.0,4.37890625,2.0,1.5,2.0,11.0,6.67578125,252.5,2.41796875,3.6953125,6.96484375,10.0703125,4.0,24.0,0.83984375,2.5,18.76953125,Blue
9.0,30.0,0.54,37.0,14.0,9.0,9.0,8.0,0.0,15.0,166.0,0.0,9.0,7.0,5.0,1.0,30.0,2.0,18.0,69.0,Draw
16.125,33.0,0.52375,23.0,6.875,3.875,9.625,1.5,11.875,33.5625,43.0,13.375,13.875,15.8125,33.625,4.375,27.0,0.125,12.625,85.5,Red
27.0,23.0,0.47,27.0,11.0,5.5,6.0,6.5,32.125,27.0,381.0,35.0,11.0,16.0,56.0,25.3525390625,34.0,6.0,12.5,122.0,Red
9.0,25.0,0.37,23.0,2.0,3.34375,3.0,2.0,4.0,9.0,610.0,0.0,0.0,0.0,4.0,6.25,23.0,0.0,4.0,13.0,Blue
