weight_class,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_opp_TD_att,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_opp_LEG_att,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_opp_CLINCH_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_win_by_KO/TKO,B_Height_cms,B_Reach_cms,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_opp_HEAD_att,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_landed,R_avg_GROUND_landed,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_title_bouts,R_win_by_Decision_Unanimous,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,Winner
7,66.30404663085938,29.5,64.0,27.27099609375,89.625,48.0,44.5,2.0,2.038061141967773,51.125,18.25,49.125,7.5,5.0,4.5,5.0,48.375,46.796875,16.47265625,5.875,5.25,3.4921875,3.97137451171875,99.75,94.5,638.5,0.0,0.0,182.88,190.5,0.0,69.609375,30.5,66.52215576171875,94.0,48.74462890625,88.451416015625,0.6621131896972656,54.0,51.38449096679688,7.875,5.40625,4.875,3.7882156372070312,50.296875,17.5,5.78125,3.7587890625,3.5,3.7294921875,2.6875,104.125,89.53125,0.0,0.0,182.88,177.8,185.0,26.0,21.0,Red
5,133.9375,53.234375,89.953125,31.296875,141.2109375,56.71875,33.078125,2.0,1.8359375,106.25,37.99609375,83.2109375,13.625,2.0703125,6.5234375,2.78125,115.609375,88.6953125,30.8828125,5.671875,0.7109375,2.7421875,0.546875,35.9453125,14.6015625,522.8359375,19.0,3.0,177.8,177.8,0.03125,124.5,60.5625,117.8125,156.03125,87.59375,129.59375,0.9375,93.46875,92.25,19.999771118164062,13.5859375,7.96875,5.875,110.25,38.40625,14.28125,11.375,2.34375,7.25,1.09375,252.3125,115.0,0.0,4.0,180.34,187.96,170.0,27.0,30.0,Blue
6,66.30404663085938,29.5,64.0,27.27099609375,89.625,48.0,44.5,2.0,2.038061141967773,51.125,18.25,49.125,7.5,5.0,4.5,5.0,48.375,46.796875,16.47265625,5.875,5.25,3.4921875,3.97137451171875,99.75,94.5,638.5,0.0,0.0,182.88,190.5,0.0,69.609375,30.5,66.52215576171875,94.0,48.74462890625,88.451416015625,0.6621131896972656,54.0,51.38449096679688,7.875,5.40625,4.875,3.7882156372070312,50.296875,17.5,5.78125,3.7587890625,3.5,3.7294921875,2.6875,104.125,89.53125,0.0,0.0,185.42,182.88,170.0,28.0,31.0,Blue
6,39.21875,19.015625,37.2265625,14.53125,51.5,30.7421875,28.671875,2.578125,1.625,30.3671875,11.8046875,28.7734375,5.4296875,4.453125,3.421875,1.796875,25.703125,24.234375,6.359375,11.8671875,12.1796875,1.5234375,0.8125,68.28125,67.15625,331.0703125,17.0,3.0,175.26,175.26,0.0001373291015625,81.38787651062012,27.139766693115234,109.99836349487305,96.13076210021973,41.37993812561035,125.44104194641112,1.0005035400390625,72.98862648010254,92.6004581451416,8.181121826171875,7.28924560546875,8.84303092956543,6.823678970336914,102.7551155090332,33.40902519226074,8.778823852539062,7.3935546875,5.589393615722656,4.8442230224609375,0.2265777587890625,145.693754196167,116.29281616210938,1.0,4.0,177.8,185.42,170.0,28.0,34.0,Blue
3,74.5224609375,29.986572265625,93.2998046875,42.4130859375,102.17041015625,51.28076171875,71.359619140625,5.9375,3.682373046875,58.093994140625,18.65185546875,76.181396484375,8.14990234375,9.236328125,8.278564453125,6.7001953125,56.636474609375,69.770263671875,26.547607421875,9.97900390625,14.5,3.168701171875,5.803955078125,209.93115234375,181.141357421875,822.403564453125,24.0,0.0,165.1,170.18,0.0,105.0703125,44.8515625,126.03125,134.6484375,72.4296875,164.88567638397217,2.15625,68.4609375,89.7890625,19.999771118164062,13.5859375,12.1640625,8.8515625,102.640625,43.3984375,15.484375,10.640625,10.630615234375,0.828125,0.09375,110.1484375,162.796875,1.0,2.0,160.02,167.64,135.0,34.0,31.0,Red
6,63.0,42.0,73.0,41.0,87.0,64.0,72.0,3.0,5.75,55.0,34.0,50.0,5.0,12.0,3.0,6.0,25.0,34.0,10.0,16.0,14.5,11.7537841796875,12.0,283.0,262.0,900.0,3.0,0.0,177.8,182.88,0.0,144.0,61.15625,140.38579559326172,171.0,86.6328125,164.88567638397217,1.3984375,114.0,111.0,19.999771118164062,13.5859375,5.171875,3.984375,122.1015625,45.0,16.2991943359375,10.125,10.630615234375,7.3125,2.34375,98.28125,167.9921875,1.0,3.0,177.8,190.5,170.0,23.0,31.0,Red
5,48.0,23.0,63.0,16.0,104.0,73.0,24.0,4.0,5.75,38.0,16.0,45.0,7.0,3.0,3.0,6.0,37.0,59.0,15.0,6.0,3.0,3.0,1.0,283.0,1.0,900.0,3.0,0.0,172.72,167.64,0.0,88.0,24.625,75.125,90.25,26.25,75.1875,0.0,73.3125,52.6875,6.125,3.4375,7.4375,5.75,73.5625,25.0625,2.25,1.125,0.75,0.8125,0.0,14.5,9.125,1.0,1.0,180.34,193.04,155.0,32.0,30.0,Red
6,113.25,48.0,81.0,30.25,126.5,60.0,39.25,1.5,1.75,82.0,25.5,69.25,18.7109375,3.75,9.25,4.25,90.0,68.5,23.5,16.0,8.25,3.75,4.25,43.5,139.75,699.0,7.0,1.0,180.34,190.5,0.0,118.375,61.15625,74.875,157.5,92.3671875,94.375,1.625,86.625,63.25,15.25,10.875,4.75,4.0,63.875,22.125,16.2991943359375,11.375,3.125,13.1875,2.75,240.875,187.125,0.0,2.0,182.88,185.42,170.0,32.0,27.0,Blue
2,72.0,33.875,66.0,26.375,85.0,46.0,36.375,0.875,4.125,55.0625,22.875,56.875,9.375,3.0,7.5625,5.375,64.625,57.375,20.9375,4.75,4.125,2.3125,4.5,122.875,93.1875,509.6875,13.0,0.0,165.1,170.18,0.5,90.56982421875,22.30859375,102.0244140625,114.232421875,40.40234375,120.00732421875,0.3369140625,73.55322265625,86.419921875,8.2294921875,2.6201171875,3.27001953125,2.6318359375,90.88232421875,35.74169921875,2.32275390625,1.1630859375,3.3759765625,0.33349609375,4.5224609375,316.97802734375,40.1787109375,1.0,4.0,162.56,165.1,125.0,28.0,34.0,Blue
8,25.0,5.5,11.5,5.0,25.5,6.0,5.0,0.0,0.5,19.5,1.5,11.0,0.0,0.0,5.5,0.5,23.5,6.5,1.0,1.5,1.0,0.0,4.0,0.0,2.5,200.0,3.0,0.0,175.26,185.42,0.0,69.609375,30.5,66.52215576171875,94.0,48.74462890625,88.451416015625,0.6621131896972656,54.0,51.38449096679688,7.875,5.40625,4.875,3.7882156372070312,50.296875,17.5,5.78125,3.7587890625,3.5,3.7294921875,2.6875,104.125,89.53125,0.0,0.0,185.42,185.42,205.0,34.0,28.0,Red
7,72.5,33.75,17.75,8.75,131.0,87.625,45.5,0.25,5.75,52.75,17.5,14.5,9.5,1.75,10.25,0.75,38.75,11.25,4.25,16.0,4.5,7.0,2.0,264.5,275.8466796875,772.0,10.0,0.0,177.8,182.88,0.25,38.5,23.25,31.75,99.75,82.0,78.5,1.5,28.25,23.75,8.5,8.0,5.25,4.75,12.25,7.0,6.75,4.75,6.5,13.1875,9.25,208.5,157.25,0.0,1.0,175.26,182.88,170.0,28.0,26.0,Red
6,99.0,38.0,57.0,5.0,118.0,57.0,24.0,5.9375,0.0,53.0,12.0,44.0,9.0,1.0,13.25,9.0,77.0,53.0,4.0,16.0,4.0,2.0,0.0,269.0,0.0,900.0,3.0,0.0,187.96,193.04,0.5,21.65625,12.875,24.4375,28.09375,18.375,42.90625,1.0625,17.0625,17.15625,2.9375,2.65625,3.125,2.5625,9.8125,4.40625,3.0,2.6875,3.6875,4.84375,7.53125,99.84375,228.90625,0.0,1.0,180.34,190.5,170.0,26.0,25.0,Blue
6,86.96875,36.4296875,59.296875,26.15625,90.390625,38.90625,28.828125,0.5,3.171875,66.984375,21.984375,43.1484375,15.7734375,4.1015625,4.2109375,7.1171875,70.6484375,50.84375,20.2890625,15.8359375,4.75,0.3125,3.703125,21.171875,87.1796875,341.0625,14.0,1.0,177.8,177.8,0.0,19.0,8.5,39.5,27.0,16.0,54.5,1.0,15.5,36.5,0.0,0.0,2.0,0.5,9.5,2.0,2.5,2.0,0.0,1.5,10.9375,11.5,175.5,0.0,0.0,185.42,193.04,170.0,34.0,30.0,Red
7,66.30404663085938,29.5,64.0,27.27099609375,89.625,48.0,44.5,2.0,2.038061141967773,51.125,18.25,49.125,7.5,5.0,4.5,5.0,48.375,46.796875,16.47265625,5.875,5.25,3.4921875,3.97137451171875,99.75,94.5,638.5,0.0,0.0,172.72,177.8,0.0,23.125,12.875,15.0,51.875,40.125,18.25,0.375,17.375,11.25,4.875,3.75,1.125,1.0,7.375,2.75,7.625,4.375,4.0,7.125,0.375,128.625,45.375,0.0,0.0,180.34,185.42,185.0,25.0,25.0,Red
6,7.0,3.0,9.0,2.0,7.0,3.0,2.0,0.0,0.0,7.0,3.0,8.0,0.0,0.0,0.0,1.0,7.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,1.0,187.96,195.58,0.0,46.25,16.875,65.375,76.5,46.75,94.0,2.3515625,35.0,53.375,4.875,4.0,6.125,6.125,45.125,14.25,6.375,4.0,9.0,0.625,4.0,43.125,276.0,0.0,0.0,175.26,182.88,155.0,23.0,31.0,Red
6,17.0,6.0,29.0,18.0,28.0,13.0,40.0,2.0,2.0,10.0,1.0,22.0,2.0,3.0,5.0,1.0,12.0,9.0,2.0,5.0,3.0,0.0,15.09375,109.0,117.0,272.0,1.0,0.0,187.96,193.04,7.659196853637695e-06,31.777252659201626,15.630906447768211,41.576322346925735,36.60321123898029,19.95069682598114,47.18518353998661,0.0694968104362487,23.33826220035553,36.57912783324719,6.313090190291405,3.824708417057991,2.373801365494728,2.2589675337076187,33.881482765078545,14.24059447646141,1.811219930648804,1.3704806566238403,5.134495735168457,3.3225093483924866,1.2968961745500565,122.64052121341228,11.1258292645216,1.0,4.0,177.8,182.88,170.0,28.0,35.0,Red
8,41.0,20.0,45.5,23.0,42.0,21.0,24.0,0.0,0.5,35.0,15.5,34.0,4.5,2.0,1.5,7.5,33.5,41.0,19.5,6.5,3.5,1.0,1.0,1.5,26.5,173.5,2.0,1.0,185.42,187.96,0.0,63.54345703125,40.571044921875,29.040771484375,110.7080078125,86.61865234375,32.195068359375,0.2890625,57.2197265625,25.947998046875,4.4990234375,3.365478515625,1.89404296875,1.854736328125,25.334228515625,7.13818359375,5.203369140625,3.838623046875,0.4462890625,13.1875,2.453369140625,323.796875,16.441162109375,1.0,4.0,187.96,187.96,205.0,34.0,31.0,Red
3,109.0,46.0,105.0,53.93115234375,146.0,73.0,80.625,4.0,1.0,77.0,24.0,80.0,18.7109375,12.0,7.0,8.0,84.0,67.0,32.0,16.0,14.0,3.0,15.09375,163.0,207.0,900.0,3.0,0.0,165.1,182.88,0.0,57.5,18.5,27.75,58.75,19.25,28.75,0.0,45.5,24.0,6.0,2.0,1.25,0.5,24.0,9.25,7.25,3.75,3.0,1.5,0.0,19.5,2.5,0.0,0.0,172.72,175.26,135.0,31.0,30.0,Red
