model,r_squared,rmse
bayesian,0.8029940848480631,4.149953487833782
decision_tree,0.8068522837221164,4.110143256548491
elastic_net,0.8029368336826975,4.150562381773009
extra_tree,0.8114281036347621,4.060158107383383
knn,0.7424269400884318,4.745419707883613
lasso,0.832243546043563,3.8291569662392435
linear,0.8027506777836371,4.152519976289129
neural_network,0.8065040666077387,4.113196085047929
random_forest,0.8253412150943532,3.9070596640466126
ridge,0.80317250413767,4.148063267941204
xgboost,0.8236126259911039,3.9267983107669933
svr,0.7856096525330604,4.328437712000643
