id,weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_TOTAL_STR_att,B_avg_opp_TOTAL_STR_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_DISTANCE_att,B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_SIG_STR_att,R_avg_opp_SIG_STR_att,R_avg_TOTAL_STR_att,R_avg_opp_TOTAL_STR_att,R_avg_BODY_att,R_avg_opp_BODY_att,R_avg_DISTANCE_att,R_avg_opp_DISTANCE_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
0.0,1,113.5,85.5,154.5,128.5,54.0,18.0,10.5,66.5,0.0,160.02,115.0,72.0,90.0,73.0,180.0,14.0,10.0,58.0,45.0,0.0,165.1,165.1,115.0,0,0
1.0,3,64.75,92.75,104.0,112.5,67.75,7.25,4.75,77.25,1.0,167.64,125.0,46.0,52.5,67.0,140.5,3.5,7.5,30.5,23.0,0.0,167.64,167.64,135.0,0,0
2.0,7,19.12976074,27.94024658,21.27532959,42.97698975,23.37097168,3.256347656,2.338745117,17.05664063,3.0,180.34,185.0,27.98253822,44.92085075,31.05969429,48.29381371,2.739326477,1.715791702,16.44887733,14.38141441,10.0,182.88,187.96,185.0,1,0
3.0,2,147.0,165.0,241.5,172.5,143.5,15.5,11.0,156.5,0.0,170.18,125.0,80.5,176.0,105.0,234.5,8.5,37.5,63.5,119.0,0.0,160.02,160.02,125.0,1,0
4.0,3,71.0,110.0,81.0,122.0,89.0,19.0,12.0,56.0,0.0,170.18,135.0,118.0,90.0,147.0,98.0,36.0,12.0,109.0,79.0,0.0,162.56,165.1,125.0,1,0
5.0,6,69.0,90.0,74.0,91.0,46.0,28.0,22.0,70.0,1.0,177.8,170.0,141.8125,131.078125,203.9570313,132.9179688,15.15234375,13.46875,122.5742188,122.6523438,1.0,180.34,182.88,170.0,1,0
6.0,7,49.375,47.6875,84.6875,136.375,40.9375,4.6875,4.5625,18.3125,2.0,175.26,170.0,34.5703125,26.109375,51.40625,36.4921875,10.4296875,2.3203125,9.1875,22.2734375,2.0,182.88,187.96,185.0,1,0
7.0,6,45.0,30.375,73.0,48.5,17.625,6.75,4.625,18.125,0.0,180.34,170.0,46.75,73.75,67.25,143.75,1.75,13.25,22.25,46.25,0.0,177.8,182.88,170.0,1,0
8.0,6,79.6875,65.75,101.375,76.75,55.0,12.0703125,6.84375,43.5,0.0,182.88,170.0,51.0,82.5,63.66147423,98.82407397,5.165710449,11.25,45.70996094,46.5,0.0,180.34,190.5,170.0,1,0
9.0,4,61.0,50.0,72.125,60.875,34.5,8.75,4.875,44.0,0.0,175.26,155.0,55.0,44.0,64.5,44.5,1.0,1.5,43.0,42.0,1.0,170.18,182.88,145.0,1,0
