id,B_Height_cms,B_Weight_lbs,B_avg_opp_CTRL_time(seconds),gender,B_avg_opp_GROUND_landed,B_avg_CLINCH_att,B_avg_REV,B_avg_SIG_STR_pct,R_Reach_cms,B_avg_opp_DISTANCE_landed,B_age,B_avg_LEG_landed,R_avg_opp_GROUND_att,weight_class,R_avg_SIG_STR_pct,R_avg_opp_TD_att,B_win_by_Submission,R_avg_opp_CTRL_time(seconds),B_avg_GROUND_att,R_avg_opp_SIG_STR_pct,B_Reach_cms
0.0,160.02,115.0,440.0,0,0.5,51.0,0.5,0.53,165.1,24.0,30.0,5.5,24.0,1,0.38,7.0,0.0,302.0,5.0,0.46,0
1.0,167.64,125.0,156.0,0,1.75,3.25,0.0,0.565,167.64,20.25,30.0,8.5,14.5,3,0.51,4.5,0.0,388.5,18.5,0.73,0
2.0,180.34,185.0,104.0825195,1,7.268249512,2.618469238,0.00793457,0.583355103,187.96,5.656005859,45.0,1.427307129,30.37161255,7,0.560338764,1.358409882,0.0,57.2142334,5.157775879,0.54519886,0
3.0,170.18,125.0,70.5,1,1.0,13.5,0.0,0.435,160.02,54.0,26.0,3.5,43.0,2,0.345,3.0,0.0,287.5,3.0,0.515,0
4.0,170.18,135.0,306.0,1,19.0,4.0,0.0,0.15,165.1,24.0,27.0,2.0,3.0,3,0.4,1.0,0.0,15.0,3.0,0.5,0
5.0,177.8,170.0,25.0,1,0.0,6.0,0.0,0.4,182.88,29.0,29.0,1.0,2.73046875,6,0.405859375,0.625,0.0,17.18359375,19.0,0.413359375,0
6.0,175.26,170.0,345.3125,1,14.3125,18.6875,0.125,0.593125,187.96,4.5,27.0,0.1875,1.5,7,0.539296875,0.2265625,0.0,21.59375,14.75,0.52484375,0
7.0,180.34,170.0,128.0,1,2.0,6.0,0.5,0.475,182.88,8.0,30.0,3.75,17.75,6,0.3525,3.25,2.0,224.25,4.5,0.3675,0
8.0,182.88,170.0,113.6640625,1,10.5,8.32421875,1.25,0.18,190.5,15.75390625,30.0,1.421875,2.0,6,0.37,1.174804688,0.0,46.75,12.5,0.461185303,0
9.0,175.26,155.0,30.125,1,0.75,13.375,0.125,0.44,182.88,15.625,23.0,6.25,0.0,4,0.45,0.5,2.0,0.0,6.75,0.085,0
10.0,180.34,155.0,372.0,1,21.0,18.0,0.0,0.45,180.34,6.0,27.0,1.0,2.0,5,0.32,4.0,0.0,72.0,0.0,0.34,0
11.0,172.72,145.0,121.0,1,2.0,20.75,0.0,0.4425,185.42,21.5,26.0,8.25,0.0,5,0.4075,4.75,0.0,107.75,24.0,0.3775,0
12.0,185.42,205.0,87.00462151,1,4.225811005,4.657070637,0.125012398,0.375108905,198.12,35.34076738,39.0,4.080101967,0.0,8,0.52,1.0,4.0,5.0,4.04442358,0.42,0
13.0,180.34,205.0,548.0,1,21.0,17.0,0.0,0.48,198.12,17.0,28.0,4.0,30.0,8,0.25,0.0,0.0,334.0,1.0,0.43,0
14.0,187.96,185.0,270.359375,1,1.0,30.75,0.0703125,0.48,193.04,17.5,31.0,1.75,0.0,7,0.6,0.0,0.0,22.0,18.15625,0.28,0
15.0,187.96,170.0,67.16796875,1,4.595703125,11.8046875,0.255859375,0.534746094,182.88,28.5078125,33.0,2.216796875,0.539794922,6,0.353713379,0.029296875,2.0,39.31665039,5.533203125,0.416813965,0
16.0,185.42,185.0,130.0,1,6.5,13.5,0.5,0.52,208.28,23.5,28.0,2.0,0.5,9,0.595,4.5,0.0,186.5,10.5,0.375,0
17.0,175.26,135.0,113.6640625,0,12.0,6.59375,0.0,0.48,180.34,13.0,29.0,3.0,2.125,3,0.395,1.5,0.0,208.0,4.04442358,0.32,0
18.0,160.02,115.0,336.0,0,0.0,87.0,1.0,0.67,152.4,26.0,30.0,8.0,0.0,1,0.48,2.0,0.0,4.0,9.0,0.25,0
19.0,187.96,185.0,3.0,1,2.0,7.0,0.0,0.42,193.04,20.0,26.0,6.0,6.0,7,0.65,8.0,0.0,362.0,26.0,0.56,0
20.0,185.42,185.0,133.53125,1,3.33203125,32.26171875,0.00390625,0.379609375,190.5,56.73828125,31.0,11.40625,25.625,8,0.565,5.6875,0.0,298.125,1.38671875,0.5875,0
21.0,177.8,145.0,153.75,1,1.5,1.5,0.0,0.18,175.26,21.375,23.0,2.0,6.25,4,0.5925,2.5,0.0,136.25,7.75,0.535,0
22.0,187.96,185.0,41.06488037,1,1.145202637,8.444458008,3.05e-05,0.576833801,198.12,20.13308716,29.0,7.06350708,5.135803223,7,0.319853516,0.065917969,1.0,128.6027832,4.703369141,0.431681519,0
23.0,182.88,185.0,42.45874023,1,1.263290405,2.786483765,0.007858276,0.543699799,187.96,3.910751343,35.0,1.921661377,3.154296875,7,0.3853125,5.8359375,3.0,147.7753906,9.031829834,0.49640625,0
24.0,180.34,155.0,93.75,1,12.5,8.5,0.0,0.5425,177.8,20.25,29.0,0.5,23.0,4,0.8,3.0,0.0,277.0,0.25,0.53,0
25.0,177.8,170.0,122.0,1,5.5,13.375,0.0,0.48,187.96,15.8125,29.0,5.75,15.125,6,0.568769531,1.119140625,0.0,54.2265625,1.125,0.366855469,0
26.0,172.72,125.0,505.0,1,1.5,38.0,0.0,0.5725,175.26,42.375,23.0,1.75,0.0,2,0.48,7.0,0.0,28.0,11.0,0.21,0
27.0,177.8,170.0,86.359375,1,1.234375,18.671875,0.0,0.445625,187.96,30.578125,33.0,3.296875,10.671875,6,0.225390625,2.15625,0.0,289.921875,0.96875,0.4940625,0
