id,B_Height_cms,B_Weight_lbs,B_age,B_total_rounds_fought,R_Reach_cms,weight_class,B_longest_win_streak,R_age,R_Height_cms,R_Weight_lbs,R_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_avg_CTRL_time(seconds),B_avg_LEG_landed,B_current_win_streak,R_avg_DISTANCE_landed,B_Stance_Orthodox,R_avg_TD_pct,B_avg_SIG_STR_pct,R_avg_opp_BODY_att
0.0,160.02,115.0,30.0,6.0,165.1,1,1.0,23.0,165.1,115.0,24.0,440.0,143.0,5.5,1.0,22.0,True,0.33,0.53,10.0
1.0,167.64,125.0,30.0,6.0,167.64,3,1.0,27.0,167.64,135.0,207.5,156.0,140.0,8.5,0.0,14.5,True,0.375,0.565,7.5
2.0,180.34,185.0,45.0,39.0,187.96,7,4.0,38.0,182.88,185.0,6.599121094,104.0825195,5.978759766,1.427307129,2.0,6.930164337,True,6.48e-05,0.583355103,1.715791702
3.0,170.18,125.0,26.0,6.0,160.02,2,1.0,29.0,160.02,125.0,112.0,70.5,215.0,3.5,0.0,26.5,False,0.5,0.435,37.5
4.0,170.18,135.0,27.0,3.0,165.1,3,0.0,27.0,162.56,125.0,227.0,306.0,103.0,2.0,0.0,41.0,True,0.29,0.15,12.0
5.0,177.8,170.0,29.0,2.0,182.88,6,1.0,31.0,180.34,170.0,290.4296875,25.0,17.0,1.0,1.0,47.15625,False,0.29171875,0.4,13.46875
6.0,175.26,170.0,27.0,10.0,187.96,7,2.0,32.0,182.88,185.0,224.078125,345.3125,76.125,0.1875,1.0,4.0703125,True,0.18125,0.593125,2.3203125
7.0,180.34,170.0,30.0,9.0,182.88,6,2.0,22.0,177.8,170.0,252.5,128.0,145.25,3.75,0.0,6.75,True,0.4875,0.475,13.25
8.0,182.88,170.0,30.0,0.0,190.5,6,0.0,22.0,180.34,170.0,120.0,92.375,95.0,4.0,0.0,21.75,True,0.25,0.46,8.828125
9.0,175.26,155.0,23.0,9.0,182.88,4,4.0,25.0,170.18,145.0,82.5,30.125,181.875,6.25,4.0,10.5,False,0.25,0.44,1.5
10.0,180.34,155.0,27.0,3.0,180.34,5,0.0,31.0,180.34,155.0,2.0,372.0,76.0,1.0,0.0,6.0,True,0.0,0.45,11.0
11.0,172.72,145.0,26.0,9.0,185.42,5,1.0,28.0,180.34,155.0,114.5,121.0,344.25,8.25,1.0,27.5,True,0.0,0.4425,15.75
12.0,185.42,205.0,39.0,48.0,198.12,8,3.0,24.0,190.5,205.0,190.0,87.00462151,28.40359926,4.080101967,0.0,70.0,True,0.16,0.375108905,14.0
13.0,180.34,205.0,28.0,3.0,198.12,8,0.0,24.0,177.8,205.0,22.0,548.0,107.0,4.0,0.0,4.0,True,0.5,0.48,5.0
14.0,187.96,185.0,31.0,0.0,193.04,7,0.0,28.0,182.88,185.0,259.0,92.375,95.0,4.0,0.0,30.0,True,0.33,0.46,3.0
15.0,187.96,170.0,33.0,23.0,182.88,6,5.0,37.0,182.88,170.0,85.6730957,67.16796875,240.7304688,2.216796875,1.0,21.10302734,True,0.378798828,0.534746094,10.80712891
16.0,185.42,185.0,28.0,5.0,208.28,9,2.0,32.0,190.5,265.0,130.0,130.0,51.5,2.0,2.0,11.5,True,0.0,0.52,4.5
17.0,175.26,135.0,29.0,0.0,182.88,3,0.0,32.0,165.1,135.0,120.0,92.375,95.0,4.0,0.0,21.75,True,0.25,0.46,8.828125
18.0,160.02,115.0,30.0,3.0,152.4,1,1.0,25.0,154.94,115.0,38.0,336.0,261.0,8.0,1.0,89.0,True,1.0,0.67,24.0
19.0,187.96,185.0,26.0,3.0,182.88,7,1.0,30.0,182.88,185.0,316.0,3.0,479.0,6.0,1.0,13.0,True,0.33,0.42,2.0
20.0,185.42,185.0,31.0,24.0,190.5,8,2.0,33.0,185.42,205.0,138.375,133.53125,332.0976563,11.40625,2.0,31.125,True,0.3125,0.379609375,10.0
21.0,177.8,145.0,23.0,0.0,175.26,4,0.0,37.0,170.18,145.0,358.0,92.375,95.0,4.0,0.0,13.0,True,0.2525,0.46,5.0
22.0,187.96,185.0,29.0,40.0,198.12,7,4.0,34.0,185.42,185.0,95.00653076,41.06488037,207.9269714,7.06350708,2.0,30.11474609,True,0.137283325,0.576833801,8.9609375
23.0,182.88,185.0,35.0,35.0,187.96,7,4.0,27.0,185.42,185.0,183.2597656,42.45874023,131.3121338,1.921661377,4.0,19.2890625,True,0.041015625,0.543699799,6.130859375
24.0,180.34,155.0,29.0,6.0,177.8,4,1.0,31.0,177.8,145.0,364.5,93.75,85.25,0.5,0.0,7.0,False,0.83,0.5425,3.0
25.0,177.8,170.0,29.0,0.0,187.96,6,0.0,37.0,185.42,170.0,24.2265625,92.375,95.0,4.0,0.0,30.06640625,False,0.209960938,0.46,6.275390625
