id,weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_HEAD_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_total_time_fought(seconds),B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_opp_TOTAL_STR_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
0.0,1,113.5,85.5,36.5,154.5,103.0,128.5,73.0,81.5,54.0,18.0,10.5,57.5,66.5,24.0,900.0,0.0,160.02,115.0,180.0,0.0,165.1,165.1,115.0,0,0
1.0,3,64.75,92.75,29.25,104.0,66.5,112.5,48.25,51.0,67.75,7.25,4.75,43.0,77.25,20.25,656.5,1.0,167.64,125.0,140.5,0.0,167.64,167.64,135.0,0,0
2.0,7,19.12976074,27.94024658,13.43847656,21.27532959,12.37658691,42.97698975,26.61297607,16.52142334,23.37097168,3.256347656,2.338745117,11.35351563,17.05664063,5.656005859,210.9042969,3.0,180.34,185.0,48.29381371,10.0,182.88,187.96,185.0,1,0
3.0,2,147.0,165.0,58.0,241.5,135.0,172.5,64.5,124.5,143.5,15.5,11.0,130.5,156.5,54.0,900.0,0.0,170.18,125.0,234.5,0.0,160.02,160.02,125.0,1,0
4.0,3,71.0,110.0,49.0,81.0,21.0,122.0,61.0,65.0,89.0,19.0,12.0,64.0,56.0,24.0,900.0,0.0,170.18,135.0,98.0,0.0,162.56,165.1,125.0,1,0
5.0,6,69.0,90.0,46.0,74.0,33.0,91.0,47.0,64.0,46.0,28.0,22.0,44.0,70.0,29.0,378.0,1.0,177.8,170.0,132.9179688,1.0,180.34,182.88,170.0,1,0
6.0,7,49.375,47.6875,25.9375,84.6875,64.0,136.375,107.375,32.3125,40.9375,4.6875,4.5625,15.9375,18.3125,4.5,570.625,2.0,175.26,170.0,36.4921875,2.0,182.88,187.96,185.0,1,0
7.0,6,45.0,30.375,15.125,73.0,43.125,48.5,32.375,34.25,17.625,6.75,4.625,34.5,18.125,8.0,479.75,0.0,180.34,170.0,143.75,0.0,177.8,182.88,170.0,1,0
8.0,6,79.6875,65.75,29.0,101.375,41.75,76.75,41.83398438,66.55664063,55.0,12.0703125,6.84375,79.0,43.5,15.75390625,704.0,0.0,182.88,170.0,98.82407397,0.0,180.34,190.5,170.0,1,0
9.0,4,61.0,50.0,18.125,72.125,39.0,60.875,28.625,50.125,34.5,8.75,4.875,40.875,44.0,15.625,424.5,0.0,175.26,155.0,44.5,1.0,170.18,182.88,145.0,1,0
10.0,5,42.0,61.0,36.0,79.0,52.0,114.0,84.0,26.0,58.0,3.0,1.0,24.0,17.0,6.0,627.0,0.0,180.34,155.0,54.0,1.0,180.34,180.34,155.0,1,0
11.0,5,133.5,101.0,33.0,173.5,94.25,136.0,63.5,100.5,88.25,6.75,4.5,88.75,77.5,21.5,900.0,0.0,172.72,145.0,132.25,1.0,180.34,185.42,155.0,1,0
12.0,8,85.60126162,90.398983,43.33412743,92.20438719,39.41293287,99.56087446,51.80054283,75.01656914,80.06436157,6.30442524,3.852147102,76.8997674,79.9126749,35.34076738,494.7976565,4.0,185.42,205.0,195.0,0.0,190.5,198.12,205.0,1,0
13.0,8,31.0,89.0,70.0,44.0,27.0,153.0,134.0,21.0,53.0,27.0,26.0,13.0,22.0,17.0,900.0,0.0,180.34,205.0,68.0,0.0,177.8,198.12,205.0,1,0
14.0,7,56.375,48.0,22.5,86.23701096,62.47529984,73.0,40.3125,44.62890625,41.5,4.25,2.25,33.5,37.5,17.5,497.0,0.0,187.96,185.0,60.0,0.0,182.88,193.04,185.0,1,0
15.0,6,105.7460938,103.265625,42.04492188,124.984375,73.765625,124.6289063,59.94335938,89.734375,80.08984375,17.49609375,10.88867188,88.40820313,85.30664063,28.5078125,644.9160156,2.0,187.96,170.0,151.5922852,1.0,182.88,182.88,170.0,1,0
16.0,9,105.0,83.0,37.5,133.5,86.0,88.5,42.5,102.0,77.0,4.5,2.0,81.0,65.0,23.5,645.5,1.0,185.42,185.0,24.5,2.0,190.5,208.28,265.0,1,0
17.0,3,82.8125,65.75,29.625,86.75,31.0,76.75,38.21875,74.109375,51.5,13.53125,11.0,57.25,47.0,13.0,704.0,0.0,175.26,135.0,116.8125,0.0,165.1,180.34,135.0,0,0
18.0,1,159.0,91.0,41.0,199.0,140.0,113.0,60.0,113.0,52.0,21.0,11.0,63.0,70.0,26.0,900.0,0.0,160.02,115.0,146.0,0.0,154.94,152.4,115.0,0,0
19.0,7,105.0,71.0,27.0,171.0,98.0,79.0,34.0,99.0,50.0,15.0,11.0,72.0,60.0,20.0,900.0,0.0,187.96,185.0,63.0,0.0,182.88,193.04,185.0,1,0
20.0,8,168.0625,138.4609375,70.76171875,261.3320313,143.8046875,165.2773438,95.31640625,135.2734375,114.40625,13.94140625,11.0703125,134.4140625,119.2890625,56.73828125,811.8242188,2.0,185.42,185.0,103.125,1.0,185.42,190.5,205.0,1,0
21.0,4,79.0,88.4375,31.0,111.5,46.04345703,91.0,46.19473737,74.109375,73.0,12.0,6.5,72.0,83.82006836,21.375,795.7431641,0.0,177.8,145.0,104.25,0.0,170.18,175.26,145.0,1,0
22.0,7,75.72982788,68.7850647,26.27600098,105.0072632,59.86877441,85.0324707,41.06384277,62.61334229,40.44512939,14.97659302,6.530853271,62.58200073,60.10235596,20.13308716,631.9464722,1.0,187.96,185.0,180.682312,2.0,185.42,198.12,185.0,1,0
23.0,7,26.68206787,19.31607056,8.894546509,35.72317505,23.4498291,29.32635498,18.63047791,21.12443542,15.19396973,2.56022644,1.956100464,14.86375427,12.09103394,3.910751343,283.5269165,4.0,182.88,185.0,77.078125,1.0,185.42,187.96,185.0,1,0
24.0,4,43.75,67.25,35.25,46.25,19.0,78.75,45.75,35.75,51.5,10.25,8.25,35.0,43.5,20.25,342.75,1.0,180.34,155.0,55.5,0.0,177.8,177.8,145.0,1,0
25.0,6,51.125,38.0,14.38123703,120.0,85.5078125,47.0,29.66796875,43.75,31.0,2.0,2.66796875,36.1484375,31.375,15.8125,554.0,0.0,177.8,170.0,117.7089844,2.0,185.42,187.96,170.0,1,0
26.0,2,101.8125,101.0,71.0,142.0,84.75,167.125,127.0,78.625,77.5,20.0,11.0,90.5625,99.0,42.375,900.0,0.0,172.72,125.0,77.0,0.0,162.56,175.26,125.0,1,0
27.0,6,135.9375,89.59375,34.3125,141.78125,60.8125,94.140625,38.65625,107.96875,61.296875,16.0625,7.203125,116.296875,82.6875,30.578125,451.125,1.0,177.8,170.0,200.046875,1.0,182.88,187.96,170.0,1,0
28.0,5,116.0,54.0,21.0,129.0,61.0,59.0,25.0,99.0,39.0,13.0,12.0,86.0,42.0,13.0,580.0,1.0,177.8,155.0,76.5,1.0,180.34,185.42,155.0,1,0
29.0,6,38.0,64.0,28.0,88.0,70.0,87.0,45.0,28.0,40.0,20.0,12.0,17.0,29.0,11.0,900.0,0.0,175.26,155.0,59.96875,2.0,185.42,190.5,170.0,1,0
30.0,9,143.0,161.0,70.0,144.0,67.0,163.0,72.0,107.0,114.0,20.0,10.0,139.0,145.0,58.0,900.0,0.0,187.96,250.0,25.125,3.0,190.5,198.12,260.0,1,0
31.0,5,100.0,114.375,44.875,107.125,47.125,122.625,52.875,73.5,97.5,14.375,7.625,93.5,101.0,36.125,795.0,0.0,175.26,155.0,89.5,0.0,170.18,182.88,155.0,1,0
32.0,7,44.4074707,19.65478516,7.7421875,58.85595703,37.83325195,24.14697266,12.12036133,38.90234375,17.75805664,1.042724609,0.773681641,16.47021484,17.25097656,6.239501953,307.170166,4.0,187.96,185.0,63.20678711,4.0,187.96,190.5,170.0,1,0
33.0,5,111.5625,110.125,29.6875,115.0,46.4375,115.3125,34.875,86.0625,84.0625,15.9375,6.0,106.4375,105.4375,26.625,900.0,0.0,177.8,155.0,225.7105859,4.0,172.72,175.26,155.0,1,0
34.0,3,31.0,58.0625,22.40625,75.6875,56.5,66.875,38.0,29.37988281,52.125,3.0,4.03125,31.75,44.0,14.25,384.5,0.0,170.18,135.0,94.703125,2.0,170.18,175.26,135.0,1,0
35.0,9,60.0625,45.3125,16.1875,79.6875,49.6875,71.25,33.5,53.0625,40.5,2.5625,2.5625,53.5,38.9375,13.0625,526.25,3.0,177.8,265.0,189.8066406,7.0,193.04,195.58,238.0,1,0
36.0,4,97.5,121.75,53.75,110.25,62.0,132.25,62.5,74.25,82.5,20.0,12.75,73.75,100.25,40.75,807.0,0.0,182.88,145.0,140.5,1.0,172.72,182.88,145.0,1,0
37.0,6,133.0,61.0,34.0,190.0,96.0,62.0,35.0,99.0,43.0,10.0,6.0,99.0,55.0,31.0,900.0,0.0,180.34,170.0,53.4375,1.0,182.88,193.04,170.0,1,0
38.0,3,79.0,46.54541016,26.46875,111.5,66.0,86.0,34.5,74.109375,38.81640625,12.75,8.796875,59.97167969,34.1875,8.375,497.0,0.0,177.8,135.0,72.0,0.0,160.02,160.02,125.0,1,0
39.0,6,9.5,20.8125,12.0625,29.25,20.6875,32.125,20.8125,9.125,18.375,1.3125,1.25,5.0625,7.9375,2.8125,320.6875,0.0,187.96,170.0,70.59259177,5.0,177.8,182.88,170.0,1,0
40.0,3,24.0,5.5,0.5,26.5,11.5,5.5,0.5,20.0,4.0,0.0,0.0,11.0,5.0,0.5,80.5,1.0,172.72,135.0,90.25,2.0,170.18,177.8,145.0,1,0
41.0,8,57.5,103.25,50.5,69.0,26.75,117.25,64.0,44.75,78.0,12.5,10.25,51.0,76.0,32.5,713.0,0.0,180.34,205.0,56.16015625,0.0,185.42,190.5,205.0,1,0
42.0,5,246.1390381,223.7438965,101.8609619,248.5882568,84.74230957,226.7331543,104.7199707,157.2307129,197.0665283,16.18334961,8.783813477,242.2313232,218.9093018,98.23303223,881.213623,3.0,177.8,155.0,57.0512085,5.0,175.26,182.88,155.0,1,0
43.0,1,170.0,166.5,50.0,207.5,104.0,189.5,70.0,119.5,123.5,33.5,18.5,142.0,152.5,39.0,900.0,0.0,165.1,125.0,132.5625,0.0,162.56,160.02,115.0,0,0
44.0,6,124.0625,69.07836914,21.73071289,135.3659668,47.02172852,95.35266113,47.17480469,105.3909912,61.40820313,4.632080078,2.856567383,120.347168,65.35424805,18.1730957,878.1481934,1.0,182.88,170.0,92.55366707,5.0,190.5,203.2,170.0,1,0
45.0,6,26.75,11.75,3.5,27.75,14.5,20.0,11.25,24.0,10.0,0.25,0.0,18.25,9.5,1.75,150.0,2.0,187.96,205.0,57.0,0.0,177.8,187.96,170.0,1,0
46.0,5,79.0,53.25,31.5625,68.5,33.08496094,63.0,29.0,60.03125,37.75,6.5,5.296875,55.28125,60.90625,23.25,704.0,0.0,180.34,155.0,122.625,0.0,172.72,175.26,155.0,1,0
47.0,7,5.0,31.0,16.0,5.0,1.0,32.0,17.0,5.0,24.0,1.0,1.0,4.0,30.0,15.0,127.0,0.0,177.8,185.0,29.0,1.0,182.88,193.04,185.0,1,0
48.0,5,66.96875,60.03125,22.40625,83.53125,45.4375,91.25,48.90625,41.65625,41.40625,10.0,6.0625,59.3125,40.46875,11.6875,805.3125,0.0,175.26,155.0,34.25,2.0,180.34,180.34,155.0,1,0
49.0,6,51.125,77.03125,30.15625,66.65625,30.65625,95.65625,46.96875,47.46875,67.3125,4.15625,3.09375,42.84375,66.25,23.0625,521.46875,2.0,175.26,170.0,38.27099609,4.0,187.96,190.5,170.0,1,0
50.0,5,137.5,221.0,55.5,155.5,49.0,225.0,59.5,112.5,211.5,7.5,2.5,126.5,218.0,54.0,900.0,0.0,175.26,155.0,53.0,0.0,175.26,180.34,155.0,1,0
51.0,6,63.0,38.296875,12.5,78.5,40.84179688,61.75,35.0,53.0625,38.0,5.5,4.33203125,39.625,28.5,9.0,404.0,0.0,177.8,170.0,110.5,1.0,177.8,185.42,170.0,1,0
52.0,3,100.5,98.875,31.3125,110.75,57.25,103.5625,35.875,68.25,70.3125,11.5,5.625,86.8125,92.75,28.0625,853.375,0.0,172.72,135.0,75.0,0.0,167.64,175.26,140.0,1,0
53.0,6,29.0,16.5,8.5,57.5,43.5,43.0,31.5,24.0,7.5,4.0,2.5,4.0,7.0,2.5,654.0,0.0,180.34,170.0,20.75,0.0,177.8,187.96,170.0,1,0
54.0,5,81.25,116.0,43.25,111.5,62.7265625,146.8222656,61.5,81.5,100.0,16.0,10.88867188,62.75,80.5,19.0,834.40625,0.0,180.34,155.0,48.5,2.0,175.26,187.96,155.0,1,0
55.0,8,100.125,90.5,25.125,106.875,30.0,104.5,38.375,89.125,75.375,2.375,1.75,98.625,79.25,21.375,798.375,0.0,187.96,205.0,49.21875,2.0,187.96,195.58,185.0,1,0
56.0,5,75.0,114.5,49.5,76.0,34.0,155.5,90.0,51.5,98.0,9.0,8.5,72.5,84.5,28.5,900.0,0.0,190.5,155.0,84.69366455,1.0,175.26,177.8,155.0,1,0
57.0,7,92.22851563,104.3144531,30.41210938,105.3125,51.796875,122.6171875,47.59960938,88.16210938,77.57226563,5.904296875,1.888671875,79.4296875,93.94335938,22.19335938,656.6367188,3.0,187.96,170.0,52.125,2.0,182.88,180.34,185.0,1,0
58.0,2,77.125,105.25,37.25,77.75,30.375,105.75,37.75,64.75,79.0,9.25,2.75,62.75,102.375,35.25,400.0,2.0,170.18,125.0,55.34375,0.0,172.72,177.8,125.0,1,0
59.0,4,191.0,132.5,49.5,209.0,92.5,140.0,54.5,149.0,97.5,33.0,24.0,162.5,123.5,44.0,848.0,0.0,170.18,145.0,96.0,0.0,177.8,177.8,145.0,1,0
60.0,9,70.578125,61.9375,23.5625,85.078125,43.5,66.0625,26.640625,55.390625,50.78125,6.953125,5.296875,54.609375,50.390625,17.421875,599.953125,2.0,190.5,235.0,24.78515625,2.0,193.04,203.2,265.0,1,0
61.0,2,109.0,102.5,37.5,114.0,44.5,128.0,58.5,97.0,77.5,9.5,6.0,86.0,88.5,26.0,854.0,1.0,162.56,125.0,55.3125,3.0,160.02,170.18,135.0,1,0
62.0,6,50.5,50.125,21.4375,53.0625,26.6875,50.875,22.1875,39.8125,35.0625,9.3125,5.375,40.6875,46.3125,18.4375,311.875,4.0,177.8,170.0,66.36328125,4.0,182.88,185.42,170.0,1,0
63.0,9,45.9296875,32.3125,9.75,75.0546875,44.453125,48.375,24.25,30.3515625,24.578125,4.71875,2.203125,32.40625,28.53125,7.2578125,592.3203125,3.0,185.42,253.0,129.666091,5.0,210.82,213.36,265.0,1,0
64.0,8,44.4375,32.0,12.0,73.0,52.0,34.9375,17.0,39.10217285,17.0,4.0,2.25,42.0,36.09375,12.5,437.0,0.0,198.12,205.0,57.6875,3.0,185.42,193.04,205.0,1,0
65.0,2,63.0,64.0,28.0,69.0,24.0,103.0,65.0,54.0,50.0,11.0,6.0,59.0,49.0,20.0,571.0,0.0,165.1,125.0,138.625,0.0,167.64,175.26,125.0,1,0
66.0,6,9.5,2.0,0.5,18.5,15.5,3.5,2.0,8.5,1.5,0.0,0.0,2.5,2.0,0.5,187.0,1.0,177.8,170.0,76.5,0.0,177.8,177.8,155.0,1,0
67.0,3,243.5,179.5,92.25,265.75,97.5,190.25,101.5,209.0,141.75,20.0,12.5,225.5,158.0,78.0,900.0,0.0,172.72,135.0,111.5,0.0,167.64,172.72,135.0,1,0
68.0,8,127.2274513,224.6593227,77.80766106,131.9021873,71.49920654,232.3482857,84.99014664,94.04394341,170.4367714,18.57778931,9.211576462,118.6581726,205.421629,68.01378059,1219.72736,11.0,187.96,185.0,177.9375,1.0,180.34,182.88,235.0,1,0
69.0,3,120.4179688,160.0078125,55.43164063,163.0410156,77.57128906,192.6142578,85.70605469,93.91503906,115.2363281,27.92675781,14.32910156,108.6103516,144.1992188,43.34277344,953.4667969,0.0,170.18,135.0,84.42578125,2.0,172.72,175.26,135.0,0,0
70.0,4,70.0,99.25,47.5,127.0,71.5,135.0,77.75,66.5,83.75,6.75,3.25,52.25,59.25,24.25,900.0,0.0,167.64,145.0,4.5,1.0,177.8,180.34,145.0,1,0
71.0,3,71.0,106.0,42.0,82.0,30.0,112.0,48.0,63.0,90.0,10.0,2.0,69.0,102.0,40.0,419.0,0.0,175.26,135.0,41.625,0.0,162.56,162.56,125.0,0,0
72.0,3,84.75,57.375,18.625,116.875,60.125,63.375,24.125,59.75,49.0,6.25,2.0,66.75,49.5,13.625,536.125,1.0,172.72,135.0,187.0,0.0,165.1,170.18,135.0,1,0
73.0,5,70.0,58.0625,27.89648438,78.0,44.453125,63.21875,25.0,48.4375,55.0,7.28125,4.0,52.22094727,60.75,26.25,379.875,0.0,185.42,155.0,165.28125,1.0,175.26,180.34,155.0,1,0
74.0,5,64.09375,61.03125,18.0,66.65625,30.59375,65.59375,22.03125,46.3125,52.375,6.59375,3.0,51.71875,53.0625,12.5,399.9375,1.0,172.72,155.0,64.5,1.0,180.34,180.34,155.0,1,0
